date,ssn,ssn_std,f107,sunspot_area,new_regions,solar_mean_field,flare_C,flare_M,flare_X,flare_S,flare_xray_total,flare_optical_total,ap_planetary,kp_daily_mean,kp_daily_max,kp_1,kp_2,kp_3,kp_4,kp_5,kp_6,kp_7,kp_8,dst_daily_mean,dst_daily_min,dst_daily_max,dst_daily_std,dst_hours_valid,flare_event_B,flare_event_C,flare_event_M,flare_event_X,flare_event_unknown,flare_events_total,ssn_interpolated,ssn_std_interpolated,dst_daily_mean_interpolated,dst_daily_min_interpolated,dst_daily_max_interpolated,dst_daily_std_interpolated,ap_planetary_interpolated,kp_daily_mean_interpolated,kp_daily_max_interpolated,kp_1_interpolated,kp_2_interpolated,kp_3_interpolated,kp_4_interpolated,kp_5_interpolated,kp_6_interpolated,kp_7_interpolated,kp_8_interpolated,solar_mean_field_interpolated,flare_event_B_interpolated,flare_event_C_interpolated,flare_event_M_interpolated,flare_event_X_interpolated,flare_event_unknown_interpolated,flare_events_total_interpolated,year,month,day_of_year,storm_category,solar_activity_level,kp_storm_level
2008-01-11,10.00,2.10,76.00,0,0,,0,0,0,0,0,0,2.00,0.62,1.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,-12.71,-17.00,-9.00,2.56,24.00,0.00,0.00,0.00,0.00,0.00,0.00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,2008,1,11,quiet,low,quiet
2008-01-12,0.00,2.00,76.00,0,0,,0,0,0,0,0,0,9.00,1.62,4.00,0.00,0.00,1.00,1.00,2.00,4.00,3.00,2.00,-6.50,-27.00,11.00,12.13,24.00,0.00,0.00,0.00,0.00,0.00,0.00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,2008,1,12,quiet,low,quiet
2008-01-13,0.00,2.00,75.00,0,0,,0,0,0,0,0,0,11.00,2.38,3.00,3.00,2.00,2.00,1.00,3.00,3.00,3.00,2.00,-22.12,-34.00,-12.00,5.72,24.00,0.00,0.00,0.00,0.00,0.00,0.00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,2008,1,13,quiet,low,quiet
2008-01-14,0.00,2.00,75.00,0,0,,0,0,0,0,0,0,16.00,3.12,4.00,3.00,3.00,3.00,4.00,3.00,3.00,3.00,3.00,-17.04,-25.00,-8.00,4.59,24.00,0.00,0.00,0.00,0.00,0.00,0.00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,2008,1,14,quiet,low,quiet
2008-01-15,0.00,2.00,74.00,0,0,,0,0,0,0,0,0,8.00,2.00,3.00,3.00,2.00,2.00,2.00,3.00,2.00,0.00,2.00,-14.96,-20.00,-10.00,2.95,24.00,0.00,0.00,0.00,0.00,0.00,0.00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,2008,1,15,quiet,low,quiet
2008-01-16,0.00,2.00,73.00,0,0,,0,0,0,0,0,0,11.00,2.62,3.00,3.00,3.00,3.00,3.00,2.00,2.00,2.00,3.00,-14.67,-20.00,-11.00,2.67,24.00,0.00,0.00,0.00,0.00,0.00,0.00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,2008,1,16,quiet,low,quiet
2008-01-17,0.00,2.00,74.00,0,0,,0,0,0,0,0,0,10.00,2.00,3.00,3.00,1.00,1.00,2.00,2.00,2.00,2.00,3.00,-10.25,-17.00,-6.00,2.47,24.00,0.00,0.00,0.00,0.00,0.00,0.00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,2008,1,17,quiet,low,quiet
2008-01-18,0.00,2.00,71.00,0,0,,0,0,0,0,0,0,10.00,2.38,3.00,3.00,3.00,3.00,1.00,2.00,3.00,2.00,2.00,-15.25,-29.00,-1.00,7.00,24.00,0.00,0.00,0.00,0.00,0.00,0.00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,2008,1,18,quiet,low,quiet
2008-01-19,0.00,2.00,71.00,0,0,,0,0,0,0,0,0,9.00,2.12,3.00,1.00,1.00,3.00,3.00,3.00,3.00,1.00,2.00,-15.42,-21.00,-8.00,3.50,24.00,0.00,0.00,0.00,0.00,0.00,0.00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,2008,1,19,quiet,low,quiet
2008-01-20,0.00,2.00,70.00,0,0,,0,0,0,0,0,0,6.00,1.75,3.00,1.00,3.00,2.00,1.00,2.00,1.00,2.00,2.00,-11.75,-19.00,-6.00,3.82,24.00,0.00,0.00,0.00,0.00,0.00,0.00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,2008,1,20,quiet,low,quiet
2008-01-21,0.00,2.00,72.00,0,0,,0,0,0,0,0,0,4.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,-12.08,-20.00,-5.00,3.86,24.00,0.00,0.00,0.00,0.00,0.00,0.00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,2008,1,21,quiet,low,quiet
2008-01-22,0.00,2.00,70.00,0,0,,0,0,0,0,0,0,2.00,0.38,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,-10.88,-16.00,-6.00,2.44,24.00,0.00,0.00,0.00,0.00,0.00,0.00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,2008,1,22,quiet,low,quiet
2008-01-23,0.00,2.00,71.00,0,0,,0,0,0,0,0,0,3.00,0.62,2.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,2.00,-3.42,-7.00,1.00,2.06,24.00,0.00,0.00,0.00,0.00,0.00,0.00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,2008,1,23,quiet,low,quiet
2008-01-24,0.00,2.00,71.00,0,0,,0,0,0,0,0,0,5.00,1.50,2.00,1.00,1.00,2.00,1.00,2.00,1.00,2.00,2.00,-5.33,-12.00,4.00,4.78,24.00,0.00,0.00,0.00,0.00,0.00,0.00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,2008,1,24,quiet,low,quiet
2008-01-25,0.00,2.00,71.00,0,0,,0,0,0,0,0,0,11.00,2.25,4.00,2.00,4.00,3.00,2.00,1.00,1.00,3.00,2.00,-9.29,-18.00,-1.00,4.95,24.00,0.00,0.00,0.00,0.00,0.00,0.00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,2008,1,25,quiet,low,quiet
2008-01-26,0.00,2.00,73.00,0,0,,0,0,0,0,0,0,5.00,1.50,2.00,2.00,2.00,1.00,2.00,2.00,1.00,1.00,1.00,-11.17,-21.00,-5.00,4.28,24.00,0.00,0.00,0.00,0.00,0.00,0.00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,2008,1,26,quiet,low,quiet
2008-01-27,0.00,2.00,72.00,0,0,,0,0,0,0,0,0,2.00,0.62,2.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,-7.88,-15.00,-3.00,3.19,24.00,0.00,0.00,0.00,0.00,0.00,0.00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,2008,1,27,quiet,low,quiet
2008-01-28,0.00,2.00,71.00,0,0,,0,0,0,0,0,0,2.00,0.62,2.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,2.00,-8.17,-15.00,-2.00,3.91,24.00,0.00,0.00,0.00,0.00,0.00,0.00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,2008,1,28,quiet,low,quiet
2008-01-29,0.00,2.00,72.00,20,1,,0,0,0,0,0,0,4.00,0.88,2.00,1.00,2.00,1.00,2.00,1.00,0.00,0.00,0.00,-7.08,-13.00,3.00,5.51,24.00,1.00,0.00,0.00,0.00,0.00,1.00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2008,1,29,quiet,low,quiet
2008-01-30,10.00,0.80,73.00,60,0,,0,0,0,0,0,0,2.00,0.50,2.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,1.00,-4.79,-10.00,1.00,3.39,24.00,1.00,0.00,0.00,0.00,0.00,1.00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2008,1,30,quiet,low,quiet
2008-01-31,10.00,0.60,72.00,50,0,,0,0,0,0,0,0,5.00,1.12,3.00,0.00,0.00,0.00,0.00,1.00,2.00,3.00,3.00,0.42,-26.00,27.00,11.83,24.00,1.00,0.00,0.00,0.00,0.00,1.00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,2008,1,31,quiet,low,quiet
2008-02-01,15.00,0.90,71.00,30,0,,0,0,0,0,0,0,18.00,3.25,5.00,3.00,2.00,3.00,3.00,2.00,4.00,5.00,4.00,-19.38,-49.00,-1.00,13.25,24.00,1.00,0.00,0.00,0.00,0.00,1.00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,2008,2,32,quiet,low,G1_minor
2008-02-02,12.00,4.40,71.00,20,0,,0,0,0,0,0,0,19.00,3.12,5.00,4.00,5.00,3.00,2.00,3.00,2.00,3.00,3.00,-33.46,-46.00,-23.00,6.95,24.00,1.00,0.00,0.00,0.00,0.00,1.00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,2008,2,33,quiet,low,G1_minor
2008-02-03,12.00,3.30,71.00,10,0,,0,0,0,0,0,0,12.00,2.62,3.00,3.00,2.00,3.00,3.00,2.00,3.00,3.00,2.00,-28.83,-37.00,-16.00,5.93,24.00,0.00,0.00,0.00,0.00,0.00,0.00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,2008,2,34,quiet,low,quiet
2008-02-04,11.00,4.30,71.00,10,0,,0,0,0,0,0,0,6.00,1.50,3.00,3.00,2.00,1.00,2.00,1.00,1.00,1.00,1.00,-26.12,-36.00,-18.00,5.54,24.00,0.00,0.00,0.00,0.00,0.00,0.00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,2008,2,35,quiet,low,quiet
2008-02-05,0.00,2.00,71.00,0,0,,0,0,0,0,0,0,3.00,0.88,2.00,2.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,-20.71,-28.00,-12.00,4.56,24.00,0.00,0.00,0.00,0.00,0.00,0.00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,2008,2,36,quiet,low,quiet
2008-02-06,0.00,2.00,72.00,0,0,,0,0,0,0,0,0,4.00,0.88,3.00,0.00,0.00,0.00,0.00,1.00,1.00,3.00,2.00,-15.12,-34.00,-4.00,8.46,24.00,0.00,0.00,0.00,0.00,0.00,0.00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,2008,2,37,quiet,low,quiet
2008-02-07,0.00,2.00,71.00,0,0,,0,0,0,0,0,0,5.00,1.00,2.00,2.00,2.00,0.00,0.00,0.00,2.00,0.00,2.00,-16.38,-33.00,-4.00,8.70,24.00,0.00,0.00,0.00,0.00,0.00,0.00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,2008,2,38,quiet,low,quiet
2008-02-08,0.00,2.00,71.00,0,0,,0,0,0,0,0,0,4.00,1.00,2.00,2.00,0.00,1.00,1.00,1.00,0.00,1.00,2.00,-13.04,-21.00,1.00,6.67,24.00,0.00,0.00,0.00,0.00,0.00,0.00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,2008,2,39,quiet,low,quiet
2008-02-09,0.00,2.00,72.00,0,0,,0,0,0,0,0,0,2.00,0.62,2.00,1.00,0.00,0.00,0.00,2.00,0.00,1.00,1.00,-6.00,-17.00,1.00,4.46,24.00,0.00,0.00,0.00,0.00,0.00,0.00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,2008,2,40,quiet,low,quiet
2008-02-10,0.00,2.00,73.00,0,0,,0,0,0,0,0,0,18.00,2.75,5.00,0.00,2.00,3.00,2.00,4.00,5.00,3.00,3.00,-14.46,-36.00,7.00,14.53,24.00,0.00,0.00,0.00,0.00,0.00,0.00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,2008,2,41,quiet,low,G1_minor
2008-02-11,0.00,2.00,72.00,0,0,,0,0,0,0,0,0,17.00,3.00,4.00,4.00,3.00,2.00,4.00,4.00,3.00,2.00,2.00,-24.58,-32.00,-20.00,3.86,24.00,0.00,0.00,0.00,0.00,0.00,0.00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,2008,2,42,quiet,low,quiet
2008-02-12,0.00,2.00,72.00,0,0,,0,0,0,0,0,0,11.00,2.62,3.00,2.00,3.00,3.00,3.00,3.00,3.00,2.00,2.00,-20.29,-26.00,-11.00,4.67,24.00,0.00,0.00,0.00,0.00,0.00,0.00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,2008,2,43,quiet,low,quiet
2008-02-13,0.00,2.00,71.00,0,0,,0,0,0,0,0,0,12.00,2.50,4.00,2.00,2.00,3.00,2.00,4.00,3.00,2.00,2.00,-17.50,-32.00,-11.00,5.15,24.00,0.00,0.00,0.00,0.00,0.00,0.00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,2008,2,44,quiet,low,quiet
2008-02-14,0.00,2.00,71.00,0,0,,0,0,0,0,0,0,15.00,2.38,5.00,2.00,1.00,2.00,1.00,3.00,1.00,5.00,4.00,-15.54,-26.00,-7.00,7.09,24.00,0.00,0.00,0.00,0.00,0.00,0.00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,2008,2,45,quiet,low,G1_minor
2008-02-15,0.00,2.00,70.00,0,0,,0,0,0,0,0,0,10.00,2.25,3.00,2.00,3.00,3.00,3.00,3.00,2.00,1.00,1.00,-19.33,-31.00,-11.00,4.60,24.00,0.00,0.00,0.00,0.00,0.00,0.00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,2008,2,46,quiet,low,quiet
2008-02-16,0.00,2.00,70.00,0,0,,0,0,0,0,0,0,9.00,2.25,3.00,3.00,3.00,2.00,2.00,3.00,2.00,2.00,1.00,-13.58,-21.00,-8.00,4.15,24.00,0.00,0.00,0.00,0.00,0.00,0.00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,2008,2,47,quiet,low,quiet
2008-02-17,0.00,2.00,71.00,0,0,,0,0,0,0,0,0,5.00,1.38,2.00,1.00,1.00,2.00,2.00,2.00,1.00,1.00,1.00,-14.17,-19.00,-10.00,2.72,24.00,0.00,0.00,0.00,0.00,0.00,0.00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,2008,2,48,quiet,low,quiet
2008-02-18,0.00,2.00,71.00,0,0,,0,0,0,0,0,0,12.00,2.50,4.00,1.00,1.00,2.00,4.00,3.00,3.00,3.00,3.00,-15.12,-31.00,-6.00,6.41,24.00,0.00,0.00,0.00,0.00,0.00,0.00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,2008,2,49,quiet,low,quiet
2008-02-19,0.00,2.00,72.00,0,0,,0,0,0,0,0,0,12.00,2.50,3.00,3.00,3.00,3.00,2.00,3.00,2.00,2.00,2.00,-21.92,-33.00,-13.00,4.74,24.00,0.00,0.00,0.00,0.00,0.00,0.00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,2008,2,50,quiet,low,quiet
2008-02-20,0.00,2.00,71.00,0,0,,0,0,0,0,0,0,7.00,1.62,3.00,2.00,3.00,3.00,1.00,1.00,1.00,1.00,1.00,-14.58,-20.00,-7.00,3.21,24.00,0.00,0.00,0.00,0.00,0.00,0.00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,2008,2,51,quiet,low,quiet
2008-02-21,0.00,2.00,72.00,0,0,,0,0,0,0,0,0,6.00,1.25,3.00,0.00,0.00,1.00,2.00,3.00,2.00,1.00,1.00,-13.88,-20.00,-5.00,4.40,24.00,0.00,0.00,0.00,0.00,0.00,0.00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,2008,2,52,quiet,low,quiet
2008-02-22,0.00,2.00,72.00,0,0,,0,0,0,0,0,0,4.00,1.00,2.00,0.00,2.00,2.00,1.00,1.00,1.00,0.00,1.00,-8.92,-16.00,-5.00,2.50,24.00,0.00,0.00,0.00,0.00,0.00,0.00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,2008,2,53,quiet,low,quiet
2008-02-23,0.00,2.00,72.00,0,0,,0,0,0,0,0,0,4.00,0.75,2.00,0.00,0.00,1.00,0.00,1.00,1.00,2.00,1.00,-8.38,-15.00,-3.00,3.38,24.00,0.00,0.00,0.00,0.00,0.00,0.00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,2008,2,54,quiet,low,quiet
2008-02-24,0.00,2.00,71.00,0,0,,0,0,0,0,0,0,3.00,0.88,2.00,1.00,0.00,0.00,1.00,1.00,1.00,2.00,1.00,-5.54,-13.00,-1.00,3.28,24.00,0.00,0.00,0.00,0.00,0.00,0.00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,2008,2,55,quiet,low,quiet
2008-02-25,11.00,4.00,71.00,20,1,,0,0,0,0,0,0,3.00,0.75,2.00,1.00,1.00,1.00,2.00,0.00,1.00,0.00,0.00,-7.08,-12.00,-1.00,3.66,24.00,0.00,0.00,0.00,0.00,0.00,0.00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,2008,2,56,quiet,low,quiet
2008-02-26,11.00,1.70,71.00,30,0,,0,0,0,0,0,0,3.00,0.75,2.00,0.00,1.00,1.00,0.00,2.00,1.00,0.00,1.00,-7.71,-15.00,0.00,4.66,24.00,0.00,0.00,0.00,0.00,0.00,0.00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,2008,2,57,quiet,low,quiet
2008-02-27,11.00,2.70,71.00,30,0,,0,0,0,0,0,0,12.00,2.25,5.00,2.00,2.00,0.00,1.00,2.00,3.00,5.00,3.00,-10.00,-25.00,3.00,7.20,24.00,0.00,0.00,0.00,0.00,0.00,0.00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,2008,2,58,quiet,low,G1_minor
2008-02-28,0.00,2.00,70.00,30,0,,0,0,0,0,0,0,22.00,3.50,4.00,4.00,3.00,3.00,3.00,3.00,4.00,4.00,4.00,-24.58,-52.00,-7.00,12.69,24.00,0.00,0.00,0.00,0.00,0.00,0.00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,2008,2,59,moderate,low,quiet
2008-02-29,0.00,2.00,70.00,0,0,,0,0,0,0,0,0,27.00,4.12,5.00,4.00,4.00,4.00,4.00,3.00,5.00,4.00,5.00,-31.17,-45.00,-16.00,7.59,24.00,0.00,0.00,0.00,0.00,0.00,0.00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,2008,2,60,quiet,low,G1_minor
2008-03-01,0.00,2.00,69.00,0,0,,0,0,0,0,0,0,19.00,3.25,5.00,5.00,4.00,3.00,3.00,3.00,3.00,3.00,2.00,-36.00,-47.00,-26.00,5.86,24.00,0.00,0.00,0.00,0.00,0.00,0.00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,2008,3,61,quiet,low,G1_minor
2008-03-02,0.00,2.00,69.00,0,0,,0,0,0,0,0,0,8.00,2.00,3.00,2.00,2.00,3.00,2.00,2.00,2.00,1.00,2.00,-26.62,-32.00,-18.00,4.25,24.00,0.00,0.00,0.00,0.00,0.00,0.00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,2008,3,62,quiet,low,quiet
2008-03-03,12.00,1.60,68.00,0,0,,0,0,0,0,0,0,5.00,1.38,3.00,3.00,2.00,1.00,2.00,1.00,1.00,1.00,0.00,-24.88,-34.00,-18.00,3.70,24.00,0.00,0.00,0.00,0.00,0.00,0.00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,2008,3,63,quiet,low,quiet
2008-03-04,0.00,2.00,68.00,0,0,,0,0,0,0,0,0,4.00,1.12,2.00,1.00,2.00,2.00,1.00,1.00,1.00,0.00,1.00,-20.08,-27.00,-14.00,3.58,24.00,0.00,0.00,0.00,0.00,0.00,0.00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,2008,3,64,quiet,low,quiet
2008-03-05,0.00,2.00,69.00,20,1,,0,0,0,0,0,0,8.00,1.88,3.00,1.00,1.00,2.00,3.00,3.00,2.00,1.00,2.00,-22.42,-29.00,-12.00,5.41,24.00,0.00,0.00,0.00,0.00,0.00,0.00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,2008,3,65,quiet,low,quiet
2008-03-06,13.00,2.50,70.00,30,0,,0,0,0,0,0,0,2.00,0.50,2.00,0.00,0.00,0.00,0.00,1.00,2.00,0.00,1.00,-15.92,-23.00,-9.00,4.24,24.00,0.00,0.00,0.00,0.00,0.00,0.00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,2008,3,66,quiet,low,quiet
2008-03-07,0.00,2.00,71.00,0,0,,0,0,0,0,0,0,3.00,0.88,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,-15.79,-20.00,-10.00,3.23,24.00,0.00,0.00,0.00,0.00,0.00,0.00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,2008,3,67,quiet,low,quiet
