:Product: Daily Geomagnetic Data     1997_DGD.txt
:Created: 1900 UT 17 Dec 1998
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
#  Please send comment and suggestions to sec@sec.noaa.gov
#
#                        1997 Daily Geomagnetic Data
#
#                 Middle Latitude        High Latitude            Estimated
#               - Fredericksburg -     ---- College ----      --- Planetary ---
#   Date        A     K-indices        A     K-indices        A     K-indices
#------------------------------------------------------------------------------
1997 01 01     4  1 1 1 1 1 1 1 2     *  * * * * * * * *     2  1 1 0 0 0 1 1 2
1997 01 16     3  1 1 1 1 1 0 1 1     *  * * * * * * * *     3  1 0 1 1 0 1 1 2
1997 01 17     2  0 0 0 0 1 1 1 1     *  * * * * * * 0 0     2  0 0 0 0 1 2 1 1
1997 01 18     6  3 2 1 2 1 1 1 1     1  0 0 2 1 0 0 0 0     5  3 2 1 2 0 1 1 0
1997 01 19     6  1 1 1 1 2 3 1 2     4  0 0 0 1 3 3 0 0     4  0 0 0 1 2 2 2 1
1997 01 20     6  0 1 1 1 2 3 2 2     4  0 0 0 0 3 2 1 0     5  0 0 0 0 1 3 3 2
1997 01 21     0  4 2 2 2 3 2 2 1     9  2 0 2 3 4 3 1 0     9  3 2 2 2 3 3 3 1
1997 01 22     6  2 3 1 1 1 2 1 2     2  0 2 1 1 1 1 0 0     5  1 3 1 1 1 2 1 1
1997 01 23     4  2 1 1 1 2 1 1 0     2  0 0 3 2 0 0 0 0     3  2 0 2 1 1 0 1 0
1997 01 24     4  0 1 1 1 1 2 2 2     0  0 0 0 1 0 0 0 0     3  0 0 1 1 0 1 1 2
1997 01 25     7  2 2 1 1 1 2 2 3     1  0 0 1 1 0 0 1 0     6  2 1 1 1 1 1 1 2
1997 01 26    15  2 2 1 2 3 4 4 4    15  0 0 0 3 5 4 3 3    13  2 0 0 2 3 3 4 4
1997 01 27    18  3 4 2 3 2 4 3 4    10  1 1 0 4 1 4 3 2    13  3 4 1 3 1 3 3 3
1997 01 28    20  3 5 3 2 3 3 3 4     *  3 0 2 5 * 3 * 2    21  3 5 3 3 4 4 4 3
1997 01 29     8  3 2 1 2 2 2 2 2     8  2 1 2 3 4 0 1 1     8  3 3 1 1 2 1 3 2
1997 01 30    12  3 2 2 1 3 3 3 3    14  2 1 2 4 5 3 1 2    11  3 3 2 2 2 3 3 3
1997 01 31    10  3 3 1 1 2 3 2 3     *  * 2 1 1 1 1 1 0     8  3 4 0 1 1 2 2 2
1997 02 01     5  1 1 1 1 2 2 2 1     2  0 0 0 2 3 0 0 0     6  2 0 0 0 2 2 1 1
1997 02 02     0  2 2 2 1 2 4 3 2     3  0 3 0 0 1 2 1 1    10  2 4 2 1 2 3 3 2
1997 02 03     6  3 1 1 1 1 1 1 3     1  1 0 1 1 1 0 0 0     7  4 3 1 0 0 1 1 2
1997 02 04     4  1 0 1 2 2 1 1 1     6  0 0 0 4 4 0 0 0     5  1 3 1 2 2 1 1 1
1997 02 05     5  0 0 0 1 3 3 2 1     2  0 0 0 2 2 2 0 0     7  3 0 0 1 2 3 3 2
1997 02 06     9  1 3 3 2 3 2 2 1    11  0 2 2 5 4 0 0 0     9  1 3 3 2 3 2 1 1
1997 02 07     3  1 1 1 0 1 1 1 2     0  0 0 0 0 0 0 0 0     3  0 0 0 0 1 0 1 2
1997 02 08    20  2 2 1 3 5 5 3 3    20  0 1 0 5 5 5 2 2    21  2 1 1 3 6 5 3 2
1997 02 09    17  3 2 1 3 3 4 4 4    21  1 0 1 2 5 5 5 3    16  2 2 2 3 3 4 5 3
1997 02 10    21  3 3 4 4 4 3 4 3    32  2 4 5 6 5 3 4 2    21  3 4 4 4 4 3 4 3
1997 02 11    17  3 3 3 4 3 3 3 3    17  1 2 5 5 3 2 2 2    20  3 3 4 5 4 3 3 4
1997 02 12     8  3 3 3 1 1 1 1 1     2  1 2 1 1 2 0 0 0     7  3 3 3 1 0 1 1 1
1997 02 13     7  1 2 1 1 2 3 2 2     3  0 0 1 3 1 1 0 0     4  0 1 1 1 2 1 1 1
1997 02 14     6  2 2 3 2 1 1 1 1     4  0 1 1 3 2 1 1 0     5  1 1 2 1 1 2 2 1
1997 02 15     3  0 0 1 1 2 2 1 1     3  0 0 1 2 3 2 0 0     4  1 0 1 1 2 3 1 1
1997 02 16    10  1 1 3 3 3 3 2 2     8  0 0 2 5 2 0 1 0     8  0 0 3 3 3 2 2 2
1997 02 17    14  3 2 5 3 2 1 2 2    29  1 2 7 6 0 0 1 1    17  2 2 5 5 2 2 2 2
1997 02 18     8  3 3 2 2 1 2 1 1     *  2 0 2 2 * 0 0 0     7  3 2 3 2 1 2 1 1
1997 02 19     4  2 1 1 0 1 1 1 2     *  0 * 0 0 0 0 0 0     3  1 0 1 0 0 1 1 2
1997 02 20     4  1 2 2 1 1 1 1 1     0  0 0 0 1 1 0 0 0     4  0 1 2 1 1 1 0 1
1997 02 21    11  1 3 3 4 2 2 1 2     *  0 0 0 0 0 0 0 0    10  0 3 3 4 3 2 1 1
1997 02 22     8  2 3 1 0 2 3 2 2     9  1 0 0 3 4 3 0 1     6  2 2 0 1 2 3 2 2
1997 02 23    10  3 3 2 3 2 2 2 2     8  1 3 4 3 2 1 0 0     9  2 3 2 3 2 2 1 2
1997 02 24     8  1 2 2 3 2 1 2 3     *  * 0 3 5 2 0 0 1     8  0 2 3 3 3 1 1 2
1997 02 25     8  3 2 1 1 1 2 3 2     *  0 0 0 0 0 * 0 0     5  3 1 1 2 1 2 1 1
1997 02 26    16  3 3 2 3 4 4 3 2    16  0 0 3 4 6 2 0 0    13  3 3 2 3 4 3 1 1
1997 02 27    22  3 3 2 1 3 3 4 6    15  2 2 1 3 5 1 3 4    20  3 3 2 1 3 3 4 6
1997 02 28    28  4 6 4 3 2 4 4 3    26  4 5 4 5 3 4 3 1    32  5 6 5 4 3 3 3 3
1997 03 01    11  3 2 2 2 3 3 3 1     8  2 1 2 4 3 3 2 1    10  3 2 3 3 3 3 3 2
1997 03 02    14  1 4 3 3 2 4 2 2    19  0 3 6 3 4 3 0 0    12  1 4 4 4 2 3 1 2
1997 03 03     8  1 1 1 2 2 3 3 2     5  0 0 1 1 2 3 1 0     5  0 0 2 2 2 2 2 2
1997 03 04     4  2 1 1 1 2 1 1 1     0  1 0 0 0 1 0 0 0     4  2 0 1 2 1 1 1 1
1997 03 05    11  1 1 1 1 3 3 4 3     2  0 0 1 0 0 2 1 1     7  1 0 1 1 1 3 3 2
1997 03 06    10  3 3 3 2 2 2 2 1     9  1 3 3 3 4 0 0 0     8  3 3 3 2 2 2 1 0
1997 03 07     9  0 2 2 3 3 2 2 3     9  0 0 1 5 4 0 0 0     8  0 2 2 3 3 3 1 2
1997 03 08     5  2 2 1 1 2 2 1 1     0  0 0 0 0 0 0 0 0     5  2 2 1 1 2 2 1 1
1997 03 09     2  1 0 0 0 0 1 1 1     0  0 0 0 0 0 0 0 0     3  1 0 0 0 1 2 1 1
1997 03 10     2  1 0 0 1 1 1 1 1     0  0 0 0 1 1 0 0 0     3  0 0 0 1 1 2 1 1
1997 03 11     3  2 1 1 0 1 1 1 1     0  1 0 0 1 0 0 0 0     4  2 0 1 1 1 1 1 1
1997 03 12    16  2 3 3 3 4 3 4 2    14  1 3 3 4 5 1 1 0    12  1 3 3 4 3 3 2 2
1997 03 13     9  3 2 3 2 1 2 2 2     5  0 2 3 2 2 2 0 1     7  3 2 3 2 2 2 1 1
1997 03 14     6  2 2 2 1 1 1 2 2     2  0 0 1 3 0 0 0 1     4  1 2 1 1 1 1 1 2
1997 03 15     7  3 2 1 2 1 2 2 1     4  1 0 3 3 0 1 0 0     6  3 2 1 3 1 1 1 2
1997 03 16     9  2 3 3 2 2 2 2 1     3  1 2 0 2 1 2 1 0     8  2 3 3 2 1 2 2 2
1997 03 17     6  2 2 1 1 1 2 2 2     1  0 0 2 1 0 0 1 0     5  2 1 1 1 1 2 2 2
1997 03 18     8  3 3 1 2 1 1 2 2     2  1 1 0 2 1 1 1 0     6  2 3 1 2 1 2 2 1
1997 03 19     4  2 1 1 1 2 1 1 0     1  0 0 0 3 0 0 0 0     4  2 1 1 1 2 0 0 1
1997 03 20     3  1 2 1 0 0 0 2 2     0  0 0 0 0 0 0 1 0     3  0 1 1 1 0 1 2 1
1997 03 21     7  1 0 2 3 2 2 2 2     *  0 0 1 4 0 0 0 0     5  0 0 2 3 1 2 2 1
1997 03 22    10  3 4 2 3 2 1 1 1     6  1 3 0 2 3 0 0 0     9  3 3 2 3 3 2 0 1
1997 03 23     3  0 1 1 2 1 1 2 0     2  0 0 1 0 3 0 0 0     4  0 0 1 1 2 1 2 0
1997 03 24     8  1 2 1 2 2 2 3 3     9  1 0 0 5 1 0 1 3     6  1 1 1 3 2 2 2 3
1997 03 25    13  3 2 3 2 2 2 3 4    10  2 0 0 4 4 3 1 2    12  2 1 3 3 3 3 3 3
1997 03 26    14  2 3 2 3 2 3 3 4    19  2 3 3 6 3 3 2 1    14  2 3 2 3 4 3 3 4
1997 03 27     7  4 1 0 1 1 2 2 2     1  1 0 0 1 0 1 0 0     6  3 1 2 1 1 2 2 1
1997 03 28    12  1 1 1 1 3 4 4 3    10  0 0 0 3 4 3 3 2    13  1 1 1 1 3 4 4 3
1997 03 29    14  3 3 2 3 3 2 2 4    12  2 3 0 4 4 2 1 2    15  3 3 1 4 3 3 3 4
1997 03 30     9  3 3 2 2 2 1 2 2    15  1 3 5 5 1 2 1 0    10  3 3 3 3 3 2 2 1
1997 03 31     7  2 2 1 1 2 2 3 2     2  1 1 0 1 2 0 1 0     5  1 1 0 1 1 1 3 1
1997 04 01    11  3 4 3 1 2 2 2 2     4  3 2 1 0 0 2 1 1     8  3 3 3 1 1 1 1 2
1997 04 02     9  2 3 2 1 3 1 3 1    -1  1-1 1 4 3 1 0 0     7  2 3 2 2 2 2 3 2
1997 04 03     9  3 4 1 1 2 1 2 2     1  2 1 0 0 0 0 1 0     7  2 3 1 0 2 2 2 2
1997 04 04    15  4 3 3 2 3 2 3 3    15  2 2 5 4 4 1 1 1    12  3 3 3 3 3 2 2 3
1997 04 05    11  3 3 1 2 1 2 2 4    -1 -1 1 4 0 0 1 1 1     8  3 1 1 2 2 3 3 3
1997 04 06    11  2 1 3 2 3 3 2 3    12  0 1 4 4 4 3 0 1    11  2 1 4 3 3 3 1 3
1997 04 07    10  3 2 2 2 2 1 3 3     4  1 1 0 3 2 1 0 1     7  3 2 2 1 2 2 2 3
1997 04 08     5  1 1 1 2 2 2 2 1     2  1 0 0 2 1 0 1 0     4  0 1 1 1 1 2 2 1
1997 04 09     6  1 2 1 1 2 2 1 3     3  1 0 0 0 3 1 0 1     5  1 1 0 0 2 2 1 3
1997 04 10    15  3 1 0 1 2 3 4 5     2  0 0 0 0 0 2 2 1    10  3 0 0 0 1 2 3 5
1997 04 11    32  5 6 4 2 3 4 4 4    10  3 4 3 1 2 2 2 1    38  6 7 5 2 3 3 3 4
1997 04 12     9  4 1 2 2 3 2 1 1    12  0 0 2 4 2 0 0 0     9  3 1 2 4 3 1 1 1
1997 04 13     7  1 3 2 2 2 1 1 2     4  1 1 2 1 3 1 1 0     8  1 3 2 2 3 3 2 1
1997 04 14     5  2 2 2 1 2 1 1 1     2  0 1 1 2 1 0 0 0     4  2 2 1 1 1 2 1 1
1997 04 15     2  2 1 1 1 0 0 0 1     0  0 0 1 0 0 0 0 0     4  1 0 1 1 1 1 2 1
1997 04 16    14  0 0 0 1 3 3 3 5    11  0 0 0 1 5 3 2 3    12  0 0 0 0 3 3 4 5
1997 04 17    23  5 4 4 2 2 3 4 4    16  3 5 4 4 2 1 2 0    26  5 5 5 3 2 3 3 4
1997 04 18    14  4 3 4 2 3 2 2 2    18  2 2 5 3 5 3 1 1    16  3 3 4 4 3 2 2 2
1997 04 19    13  3 3 4 3 2 2 2 2     8  1 3 3 3 3 1 0 0    13  3 3 4 3 3 2 2 2
1997 04 20     6  2 2 2 1 1 1 2 2     0  1 0 1 0 0 0 0 0     4  1 1 2 0 1 2 2 2
1997 04 21    15  1 1 2 2 4 3 4 4    20  0 0 0 4 4 6 3 3    16  1 1 1 3 4 4 4 5
1997 04 22    17  5 4 3 2 1 1 3 3     5  3 3 2 1 0 1 1 0    18  5 5 3 2 2 3 3 2
1997 04 23    11  2 2 1 3 3 2 3 3    -1  0-1 0 1 1-1 1 2     9  2 2 1 2 2 2 3 4
1997 04 24    16  5 3 3 3 3 2 2 2     7  3 1 4 2 0 0 1 1    15  5 3 4 3 2 2 2 2
1997 04 25     8  2 2 2 1 2 2 2 3    -1  2 1-1 1 1 1 1 0     7  2 2 3 2 1 2 2 2
1997 04 26     5  1 1 1 1 2 2 2 1    -1  0 0 0 2-1 0 0 0     4  1 1 1 2 2 2 1 2
1997 04 27     4  1 1 1 1 1 2 1 2     0  0 0 0 0 0 0 1 0     4  1 0 0 0 2 2 2 1
1997 04 28     3  1 1 0 2 1 1 1 0     1  0 0 0 3 0 0 0 0     4  1 0 0 2 1 1 1 1
1997 04 29     3  0 1 0 1 2 1 1 2     0  0 0 0 0 0 1 0 1     4  0 0 0 1 1 1 2 2
1997 04 30    13  3 3 2 1 2 1 4 4     2  2 1 0 0 0 1 2 1    11  3 3 1 1 2 3 3 4
1997 05 01    18  3 1 2 1 3 4 4 5    14  1 1 2 3 4 4 3 3    20  3 1 3 2 3 4 4 5
1997 05 02    17  5 3 3 2 3 3 2 3    15  3 3 2 3 5 1 3 2    16  5 3 3 3 4 2 2 3
1997 05 03    10  2 2 2 2 3 3 3 2     9  2 2 3 2 4 1 1 2     9  2 2 2 3 3 3 3 2
1997 05 04     9  2 3 2 1 2 2 3 2     3  2 1 1 2 1 1 1 0     7  2 3 2 1 1 2 3 2
1997 05 05     7  3 2 1 1 2 2 2 2     3  2 1 3 1 0 0 0 0     6  3 2 1 2 1 1 2 2
1997 05 06     5  1 1 2 1 2 2 1 2     2  1 1 0 2 0 2 1 1     4  1 1 1 1 1 2 1 1
1997 05 07     4  2 2 2 0 0 0 2 2     0  1 0 1 0 0 0 0 0     5  2 2 2 0 1 2 2 2
1997 05 08     6  2 2 1 1 2 2 2 2     2  0 0 1 3 0 0 0 1     5  2 2 1 1 1 2 1 1
1997 05 09     5  1 2 2 1 2 1 1 1     0  0 0 0 0 0 0 0 0     6  2 2 3 2 1 2 1 1
1997 05 10     5  1 2 2 1 2 1 1 2     1  1 1 0 1 1 0 0 0     5  1 2 2 2 2 2 1 2
1997 05 11     8  3 3 3 2 2 1 0 1     3  1 1 1 3 0 0 0 0     7  3 3 3 2 1 1 1 1
1997 05 12     3  0 0 0 1 2 2 1 1     0  0 0 0 0 0 0 0 0     3  1 0 1 1 1 2 1 1
1997 05 13     3  1 1 1 1 1 0 1 1     0  0 0 0 0 0 0 0 0     3  0 0 0 0 1 2 2 1
1997 05 14     6  0 0 0 1 2 2 3 3     1  0 0 0 0 0 2 1 1     6  1 0 0 1 2 3 3 2
1997 05 15    33  4 3 5 6 5 4 3 2    39  2 2 5 6 7 4 2 1    53  3 3 6 7 7 5 3 2
1997 05 16    16  3 3 3 1 4 4 2 3     6  2 1 0 1 3 3 1 1    12  2 3 2 1 4 4 2 3
1997 05 17     9  3 3 1 2 1 2 2 3    -1 -1-1-1-1-1-1-1-1    12  3 4 1 2 3 3 3 2
1997 05 18     7  2 2 1 1 2 2 2 3     2  1 1 2 0 1 0 0 1     6  1 1 2 1 2 2 2 3
1997 05 19     4  1 1 1 1 1 1 2 1     0  0 0 0 0 0 0 0 0     4  1 1 1 1 1 2 2 1
1997 05 20     6  2 2 3 2 1 1 1 1     0  0 1 0 0 0 0 0 0     6  2 2 2 1 2 2 2 1
1997 05 21     6  1 1 1 1 2 1 3 2     1  0 0 1 1 1 0 1 0     5  1 1 1 2 2 2 2 2
1997 05 22     5  2 2 0 1 1 2 2 2     0  0 0 0 1 0 0 0 0     4  1 1 0 0 1 2 2 2
1997 05 23     4  0 1 1 1 1 2 2 2     1  0 1 0 1 0 0 0 0     3  0 0 1 1 1 1 2 2
1997 05 24     9  1 1 2 2 3 2 3 3     5  1 0 1 2 3 1 1 1     6  1 1 2 2 2 2 2 2
1997 05 25     8  2 3 2 1 1 3 2 1     2  2 2 1 0 0 0 1 0     5  1 3 2 1 1 2 1 1
1997 05 26     9  1 1 0 3 3 2 3 3     3  0 0 0 2 3 0 1 1     8  0 0 0 2 3 3 2 3
1997 05 27    17  4 5 4 2 2 2 2 2    19  3 6 4 3 2 2 0 1    21  4 6 4 2 2 2 2 2
1997 05 28     7  2 2 2 2 2 2 1 2     3  2 1 1 2 2 0 0 0     6  2 2 1 2 2 2 2 1
1997 05 29     4  1 1 1 1 1 1 1 2     1  1 1 0 1 0 0 0 1     3  1 1 1 0 1 1 1 2
1997 05 30     7  1 1 2 1 2 2 2 3     1  0 0 0 1 0 0 1 1     7  1 1 2 1 2 3 3 3
1997 05 31     9  2 2 1 1 2 3 3 3     6  2 1 1 3 2 2 1 0     9  2 2 1 1 2 3 3 3
1997 06 01    10  2 2 3 2 2 2 3 3     3  1 1 0 2 1 1 1 1     6  1 1 3 1 2 1 2 3
1997 06 02     8  2 1 1 1 2 2 3 3     2  2 1 0 1 0 0 1 2     7  2 1 1 1 2 2 3 3
1997 06 03    11  3 2 3 2 2 3 3 2     6  3 3 2 1 2 1 0 0    10  3 3 4 2 2 2 2 2
1997 06 04     8  2 2 1 1 2 2 3 3    -1  1 1 0 1 0 1-1 0     5  2 2 1 1 1 2 3 2
1997 06 05     4  1 1 1 1 1 1 2 2     0  0 0 1 0 0 0 0 0     3  1 1 1 0 0 1 2 1
1997 06 06    11  2 2 3 3 3 2 2 3     3  2 2 1 1 1 0 1 1     8  3 2 3 2 2 2 1 2
1997 06 07    10  3 3 2 2 3 2 2 2    10  1 1 3 5 2 2 0 1    11  3 3 2 3 3 2 2 2
1997 06 08    12  1 2 3 2 2 3 3 4    14  0 2 3 4 4 4 1 2    11  1 1 3 3 3 3 3 3
1997 06 09    25  4 5 5 4 3 2 3 3    24  3 3 6 3 5 3 1 2    33  5 6 5 5 4 3 3 3
1997 06 10     8  2 3 2 2 2 2 2 2     5  0 3 3 2 0 1 0 0     6  2 2 3 1 1 2 2 2
1997 06 11     4  2 1 1 1 1 1 1 2     1  1 1 0 0 0 0 0 1     3  2 1 0 0 1 1 2 1
1997 06 12     8  3 2 2 2 2 2 2 1     3  1 1 1 3 2 0 0 0     6  2 1 1 2 2 2 2 1
1997 06 13     6  1 1 0 1 2 2 2 3     0  0 0 0 0 0 0 0 0     3  1 0 0 0 2 1 1 2
1997 06 14     4  1 0 0 0 2 2 2 2     0  0 0 0 0 0 0 0 0     3  0 0 0 0 1 2 2 1
1997 06 15     9  3 2 2 2 3 2 2 2     3  1 2 0 3 1 0 1 0     6  3 2 1 2 2 2 2 2
1997 06 16     8  1 2 1 2 2 3 3 1     3  1 0 0 3 0 1 1 0     5  1 1 0 2 2 2 3 1
1997 06 17     6  1 2 2 1 1 2 2 2     1  0 1 1 0 0 0 1 0     5  0 2 2 1 1 2 2 2
1997 06 18     3  1 1 1 1 1 1 1 1     0  0 0 0 0 0 0 0 0     4  0 1 1 1 1 2 1 2
1997 06 19    11  2 2 4 2 2 2 2 3     6  1 2 3 3 2 0 0 1    10  3 2 4 3 2 2 2 2
1997 06 20     6  2 1 2 2 2 2 1 2     2  0 1 2 0 2 0 0 0     5  2 1 1 1 2 2 1 2
1997 06 21     2  0 0 0 0 0 1 1 2     2  0 0 0 3 0 0 0 0     3  0 0 0 1 1 2 1 1
1997 06 22    15  2 4 3 3 3 3 3 2     4  1 2 3 1 1 0 1 0     9  1 3 3 2 3 2 2 2
1997 06 23     9  2 1 1 2 3 3 2 3    -1 -1-1-1-1-1-1-1-1     7  1 0 1 2 2 2 2 3
1997 06 24     6  1 2 1 2 2 2 2 2    -1 -1-1-1-1-1 0 1 1     6  1 1 1 2 2 2 2 2
1997 06 25    11  2 3 2 3 2 1 3 3     6  2 1 1 3 3 0 1 2     8  1 2 2 3 2 2 2 3
1997 06 26     6  2 2 1 1 1 1 2 3     1  1 1 0 0 0 0 1 0     5  2 2 1 0 1 2 2 2
1997 06 27    15  2 1 2 4 4 3 3 3    17  0 0 2 6 4 3 2 1    16  2 1 2 5 4 3 3 3
1997 06 28     9  2 3 2 2 2 1 2 3    10  3 4 0 2 1 0 0 1     9  3 4 2 2 2 1 2 3
1997 06 29    11  4 3 2 2 3 2 1 2     6  3 2 3 3 1 0 0 0    11  4 3 3 3 1 2 2 2
1997 06 30     6  2 1 0 1 2 2 2 3     1  1 0 0 0 0 1 0 1     5  3 1 0 0 2 2 2 2
1997 07 01     6  1 2 1 1 2 2 2 2     0  1 0 0 0 1 0 0 0     4  2 1 0 1 1 1 2 2
1997 07 02     4  1 1 1 0 2 1 2 2     1  0 0 0 1 1 0 0 1     4  1 1 0 1 1 1 2 2
1997 07 03     9  2 2 2 3 2 3 2 2     7  3 0 1 4 3 0 0 1     7  3 1 2 3 2 2 1 2
1997 07 04     8  2 2 1 2 2 3 2 2     3  1 2 0 2 1 1 1 0     7  2 2 0 1 2 3 3 2
1997 07 05     5  1 1 1 2 2 2 1 1    -1 -1 1 0 2 0 1 0 0     4  1 1 1 1 1 1 1 1
1997 07 06     7  0 3 1 2 2 2 2 2     1  1 1 1 0 0 0 0 0     4  0 2 1 1 1 1 1 1
1997 07 07    15  1 3 2 3 2 3 4 4     9  1 1 3 4 2 2 1 2    14  1 3 3 3 3 3 4 3
1997 07 08     6  2 2 1 1 2 2 2 2     1  1 0 0 0 1 0 0 1     5  2 2 1 1 1 2 1 2
1997 07 09    14  3 3 3 2 2 3 4 2     7  1 1 0 1 2 4 3 1    11  3 3 3 1 2 3 3 2
1997 07 10     8  2 2 3 2 2 2 2 2     6  1 2 2 2 3 1 1 1     8  1 1 4 2 2 3 2 1
1997 07 11     5  1 1 1 2 2 1 2 2     3  1 0 0 2 3 0 0 0     4  1 0 1 2 2 1 1 1
1997 07 12     3  1 1 0 0 1 1 2 2     0  1 0 0 0 0 0 0 0     4  1 1 0 0 1 2 2 1
1997 07 13     5  1 1 1 2 1 2 2 2     1  0 0 2 1 0 0 0 0     4  0 1 2 1 1 2 2 1
1997 07 14     2  0 0 1 1 0 1 2 1     0  0 0 0 0 1 0 1 0     3  0 0 0 1 1 2 1 1
1997 07 15    13  2 3 3 3 3 3 3 2    -1 -1-1-1-1-1-1-1-1    14  1 3 2 4 3 3 3 2
1997 07 16     7  2 2 2 2 2 2 2 2    -1 -1 1 0 0 0 0 0 0     5  2 3 2 1 1 2 2 2
1997 07 17    11  1 2 3 2 1 2 3 4     2  0 1 1 2 1 0 2 0     8  1 1 3 1 1 1 3 3
1997 07 18    11  2 3 2 3 3 3 2 2     8  2 3 3 2 3 0 0 1    10  3 4 3 3 2 2 2 2
1997 07 19    11  2 3 2 2 3 3 2 3     7  1 2 2 4 1 2 1 1    11  2 3 3 3 3 3 2 3
1997 07 20     7  2 1 1 2 3 2 2 2     3  0 1 1 3 2 0 0 0     6  2 1 1 3 2 2 1 2
1997 07 21     7  1 1 2 1 2 3 2 2     0  0 0 0 0 1 0 1 0     5  1 1 3 1 2 2 2 1
1997 07 22     7  1 1 1 2 2 3 2 2     1  1 0 0 1 0 1 0 1     4  1 0 0 2 2 2 2 1
1997 07 23     7  1 2 2 1 2 2 2 3     1  1 1 0 0 0 0 0 1     5  1 2 1 0 1 1 1 3
1997 07 24    15  2 2 2 3 4 3 3 4     9  1 1 2 1 5 1 1 1    10  2 1 3 3 3 2 3 3
1997 07 25     8  2 2 1 2 2 3 2 2     1  2 1 0 0 1 0 0 0     5  2 2 1 0 1 2 2 2
1997 07 26     8  2 1 1 1 2 2 3 3     0  0 0 0 0 0 0 1 1     4  1 1 2 0 1 2 2 2
1997 07 27     7  2 2 2 1 2 2 2 2     1  0 0 0 2 0 1 0 1     6  2 1 2 2 2 2 1 2
1997 07 28     8  2 1 2 2 3 2 2 2     1  0 1 2 0 0 0 0 0     5  2 0 3 1 2 1 1 1
1997 07 29     7  2 2 1 2 2 2 2 2     0  0 1 0 0 0 0 0 0     3  1 1 1 1 1 2 1 1
1997 07 30     8  3 2 1 2 1 1 2 3     2  1 2 0 2 0 0 0 1     7  3 3 1 1 1 1 2 3
1997 07 31    18  4 4 3 4 3 3 2 2    15  4 3 5 2 3 1 0 1    19  5 4 4 4 2 2 2 2
1997 08 01    11  2 3 2 2 3 3 2 3     7  2 0 3 3 3 0 0 1     8  2 3 2 2 2 2 2 3
1997 08 02     6  2 1 1 1 2 2 2 2     1  1 0 0 0 0 0 0 1     5  1 0 1 1 2 2 3 2
1997 08 03    14  1 1 2 3 4 4 3 3    22  0 1 3 5 3 6 3 2    15  2 1 2 3 4 5 3 3
1997 08 04    10  4 2 2 3 1 1 3 1     4  2 2 3 2 0 0 0 0     8  3 2 2 3 1 2 3 2
1997 08 05     6  1 2 2 1 1 2 2 2     0  0 1 0 0 0 0 0 0     3  1 1 1 1 0 1 1 1
1997 08 06     5  2 2 0 0 2 2 2 1    -1  0 0 0 0-1 0 0 0     4  1 2 0 0 2 3 2 1
1997 08 07     7  1 1 1 1 3 2 2 3     1  1 0 0 0 2 0 0 0     6  1 1 1 2 2 2 2 3
1997 08 08     7  2 2 1 2 3 1 2 1     2  1 0 0 2 2 0 0 0     5  1 2 1 2 2 2 2 2
1997 08 09    10  0 1 3 2 3 2 3 3    -1  0 0 2 0-1 1 1 0     7  1 0 2 1 3 3 2 2
1997 08 10     8  2 2 3 2 2 1 2 2     3  1 1 2 3 0 0 1 0     7  2 1 4 2 1 1 2 2
