:Product: Daily Solar Data         1994_DSD.txt
:Issued: 0225 UT 22 Jul 1997
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
#  Please send comments and suggestions to sec@sec.noaa.gov
#
#                     1994 Daily Solar Data
#

                          Sunspot      Stanford  GOES7
           Radio  SESC      Area          Solar  X-ray
           Flux  Sunspot   10E-6           Mean   Bkgd
03 Aug 94   76      19       160            13    A2.7            
04 Aug 94   75      21       100            16    A2.4            
05 Aug 94   76      27        90            27    A3.4            
06 Aug 94   75      29       100            34    A3.4            
07 Aug 94   76      18       100            43    A1.9            
08 Aug 94   74      18       100            40    A1.8            
09 Aug 94   75      18        90            21    A2.2            
10 Aug 94   78      33       110             *    A3.7            
11 Aug 94   77      37       160            -2    A3.0            
12 Aug 94   81      58       220           -17    A6.9            
13 Aug 94   84      59       340           -27    B1.3            
14 Aug 94   89      75       490           -22    A8.6            
15 Aug 94   81      61       300           -24    A7.1            
16 Aug 94   77      64       270           -14    A4.8            
17 Aug 94   78      73       260           -13    A4.0            
18 Aug 94   77      62       210           -13    A4.9            
19 Aug 94   75      65       160           -15    A5.6            
20 Aug 94   72      58       150            -3    A3.0            
21 Aug 94   71      40        50            -3    A2.0            
22 Aug 94   71      12        20             1    A1.0            
23 Aug 94   72      38        70             2    A0.9            
24 Aug 94   72      50        70            18    A1.1            
25 Aug 94   71      15        40             6    A0.8            
26 Aug 94   72      18        20             3    A0.8            
27 Aug 94   71      14        10            -1    A0.9            
28 Aug 94   71      22        50            -7    A1.2            
29 Aug 94   78      24        70             2    B1.7            
30 Aug 94   83      45       360            -3    B4.3            
31 Aug 94   82      59       590            12    B1.9            
01 Sep 94   86      59       540            20    B1.3            
02 Sep 94   90      93       680            21    B1.4            
03 Sep 94   97     101       840            34    B1.8            
04 Sep 94   94      86       840            17    B1.1            
05 Sep 94   94      92       760            -2    A9.3            
06 Sep 94   95      83       760           -22    B1.1            
07 Sep 94   92      89       710           -24    A8.1            
08 Sep 94   89      67       620           -15    A6.3            
09 Sep 94   87      56       520           -26    A7.2            
10 Sep 94   82      37       290           -32    A5.6            
11 Sep 94   81      58       290           -32    A7.7            
12 Sep 94   77      24       180           -24    A4.1            
13 Sep 94   76      12       160           -14    A2.2            
14 Sep 94   74      11       120            -8    A0.6            
15 Sep 94   72      11       120            -4    A0.3            
16 Sep 94   71      12         0            -6    A0.4            
17 Sep 94   70      19        30           -10    A0.3            
18 Sep 94   72      30        80            -3    A0.9            
19 Sep 94   70      29        40            15    A0.8            
20 Sep 94   70       0         0            15    A0.6            
21 Sep 94   70       0         0             6    A0.4            
22 Sep 94   71      15        20            13    A0.4            
23 Sep 94   71      17        30            -4    A0.6            
24 Sep 94   73      20        40            -6    A1.2            
25 Sep 94   76      35        60            -4    A2.8            
26 Sep 94   77      43       150            -5    A3.4            
27 Sep 94   75      36       110             5    A2.6            
28 Sep 94   74      35       120            24    A2.3            
29 Sep 94   74      24       110            30    A2.6            
30 Sep 94   74      22       140            40    A2.0            
01 Oct 94   75      23       200            37    A2.0            
02 Oct 94   75      22       150            35    A0.9            
03 Oct 94   74      22       150            11    A0.2            
04 Oct 94   75      34       180             *    A0.6            
05 Oct 94   79      69       190             4    A3.6            
06 Oct 94   84      78       250           -14    A5.7            
07 Oct 94   84      79       250           -23    A4.9            
08 Oct 94   86      65       260           -21    A8.9            
09 Oct 94   87      73       380           -20    B1.0            
10 Oct 94   87      70       510           -12    B1.1            
11 Oct 94   88      73       400            -8    B1.4            
12 Oct 94   88      71       510           -13    B1.2            
13 Oct 94   93      69       680             1    B1.1            
14 Oct 94   93      88       630             3    B1.5            
15 Oct 94   93      98       560             9    B1.3            
16 Oct 94   91      83       550            23    B1.3            
17 Oct 94   92      68       350             *    B1.2            
18 Oct 94   90      78       380            32    B1.7            
19 Oct 94   91      93       660            37    B1.2            
20 Oct 94   90      75       570            24    B3.0            
21 Oct 94   88      62       430             7    B1.3            
22 Oct 94   86      55       340             3    B1.2            
23 Oct 94   84      35       190            12    B1.5            
24 Oct 94   82      37       110             3    A8.7            
25 Oct 94   89      30       160             5    B1.6            
26 Oct 94   93      78       330            30    B1.3            
27 Oct 94   93      87       390            26    B1.0            
28 Oct 94   97      90       410            35    B1.2            
29 Oct 94   98      92       500            26    B1.7            
30 Oct 94   98      93       510            21       *            
31 Oct 94   97      89       420             2    A8.5            
01 Nov 94   92      81       360             *    A8.5            
02 Nov 94   91      67       340           -23    A7.8            
03 Nov 94   87      53       210           -21    A6.7            
04 Nov 94   84      41       170           -33    A5.9            
05 Nov 94   83      46       170             *    A5.0            
06 Nov 94   81      46       150             *    A6.6            
07 Nov 94   82      23       110           -29    A7.1            
08 Nov 94   80      33       110           -12    A5.4            
09 Nov 94   79      34        60             *    A3.2            
10 Nov 94   80      45        20           -10    A3.3            
11 Nov 94   79      45        20           -11    A3.3            
12 Nov 94   80      69         0             2    A3.2            
13 Nov 94   81      11         0             7    A3.0            
14 Nov 94   79      11         0            24    A2.0            
15 Nov 94   79      11         0             *    A1.5            
16 Nov 94   79      36         0             9    A1.5            
17 Nov 94   79      29        60             *    A2.1            
18 Nov 94   80      28        70            -3    A3.1            
19 Nov 94   78      23        10             1    A3.3            
20 Nov 94   79      22        20            17    A4.0            
21 Nov 94   78      11        30            16    A3.3            
22 Nov 94   76      11        50            30    A1.9            
23 Nov 94   78      12        20            27    A1.9            
24 Nov 94   79      12        20            48    A2.0            
25 Nov 94   82      41        50            31    A2.6            
26 Nov 94   83      42        90            23    A6.4            
27 Nov 94   80      33       100             *       *            
28 Nov 94   80      32        80            -6       *            
29 Nov 94   80      28        40            -8       *            
30 Nov 94   78      15        70           -26    A4.2            
01 Dec 94   79      15       100           -32    A3.5            
02 Dec 94   79      12         0             *    A3.6            
03 Dec 94   82      11        30             *    A5.0            
04 Dec 94   82      14        80             *    A7.2            
05 Dec 94   81      14       130           -18    A4.7            
06 Dec 94   78      16        50             *    A2.9            
07 Dec 94   80      28        90           -12    A3.3            
08 Dec 94   81      38        70             9    A5.5            
09 Dec 94   87      51       180             4    A8.5            
10 Dec 94   86      57       340            -2    A7.0            
11 Dec 94   95      85       450            -2    B1.2            
12 Dec 94   99      82       680             *       *            
13 Dec 94   97      67       730             *    B1.8            
14 Dec 94   95      57       640             *    B1.9            
15 Dec 94   93      43       570           -19    A9.5            
16 Dec 94   93      36       540           -12    B1.8            
17 Dec 94   92      50       600             3    B1.4            
18 Dec 94   87      60       530            10    B1.6            
19 Dec 94   85      40       320             *    B1.0            
20 Dec 94   82      28       200            36    B1.3            
21 Dec 94   82      20       150            16       *            
22 Dec 94   82      52       160            27    A3.7            
23 Dec 94   80      51       180            15    A4.4            
24 Dec 94   80      50       150             *    A2.8            
25 Dec 94   81      48       140            -6    A2.8            
26 Dec 94   80      46       150             *    A4.4            
27 Dec 94   76      41        80             *    A2.6            
28 Dec 94   79      36        70           -24    A1.4            
29 Dec 94   80      40        50           -31    A3.1            
30 Dec 94   77      12        10           -37    A2.9            
31 Dec 94   77       0         0             *       *            
