:Product: Daily Geomagnetic Data     2012_DGD.txt
:Issued: 1900 UTC 02 Jan 2013
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
#  Please send comment and suggestions to SWPC.Webmaster@noaa.gov
#
#             2012 Daily Geomagnetic Data
#
#
#                Middle Latitude        High Latitude            Estimated
#              - Fredericksburg -     ---- College ----      --- Planetary ---
#  Date        A     K-indices        A     K-indices        A     K-indices
2012 03 21     4  1 0 0 2 2 1 2 1     5  1 1 1 3 2 1 1 1     5  1 0 1 1 2 1 2 1
2012 03 22     6  1 1 0 1 1 2 3 3     3  1 1 0 0 0 1 2 2     7  1 1 0 1 1 1 3 3
2012 03 23     5  2 1 1 2 2 2 2 0     4  2 0 1 3 1 1 1 0     5  3 1 1 2 1 2 1 1
2012 03 24     9  1 3 3 2 2 2 2 2    12  0 3 5 2 1 2 2 2    10  1 3 4 2 2 2 2 2
2012 03 25     4  2 1 2 1 2 1 1 0     6  1 1 3 3 3 0 0 0     5  2 1 2 1 2 1 0 0
2012 03 26     4  1 2 1 1 2 1 1 1     3  0 0 1 3 2 0 0 0     4  1 2 1 1 1 1 1 1
2012 03 27    15  1 2 2 3 3 2 3 5    25  0 2 1 5 5 5 3 4    13  1 2 1 3 3 3 3 4
2012 03 28    10  3 3 3 2 2 2 2 1    17  3 4 4 4 3 3 1 1    13  4 4 3 2 2 1 2 1
2012 03 29     3  0 0 0 1 2 1 1 2     2  0 0 1 0 0 1 1 1     3  1 0 0 0 1 1 1 2
2012 03 30     6  2 2 2 1 2 2 1 1     3  1 2 2 2 0 1 0 0     5  2 2 1 1 1 1 1 1
2012 03 31     4  0 1 0 1 2 2 2 1     1  0 1 0 0 0 1 1 0     5  1 1 0 1 2 2 2 1
2012 04 01     6  1 2 1 2 2 2 2 1    11  0 1 2 3 4 4 2 1     6  1 2 1 2 2 2 2 2
2012 04 02     9  3 2 2 1 3 2 2 2    17  2 4 3 4 5 2 1 1     8  3 3 2 1 2 2 1 2
2012 04 03     4  1 2 1 0 2 1 1 2     4  1 2 1 2 2 0 1 1     5  2 2 1 0 1 1 1 2
2012 04 04     6  2 2 1 1 2 2 2 2     5  2 2 0 1 1 2 2 2     6  2 2 0 1 1 2 2 3
2012 04 05    11  2 2 3 3 3 2 3 2    35  2 4 4 7 4 5 1 1    13  3 3 3 4 3 3 2 2
2012 04 06     3  1 1 1 0 1 0 1 2     2  1 1 0 0 0 0 1 1     4  1 1 1 1 1 1 0 2
2012 04 07     3  1 1-1-1-1-1-1-1    24  2 3 4 6 5 1 1 2    10  2 3 2 3 3 1 0 2
2012 04 08    -1 -1-1-1-1-1-1-1-1     6  2 1 0 4 1 1 1 0     5  2 1 1 2 2 1 1 1
2012 04 09     7 -1-1-1-1-1-1 2 2     1  0 0 0 0 0 0 2 1     4  0 1 1 0 1 1 2 2
2012 04 10     6  3 2 2 0 1 1 1 2     2  2 0 1 0 0 0 1 1     8  3 2 2 1 1 1 1 3
2012 04 11     5  1 1 2 2 2 1 1 2     3  1 1 1 3 0 0 0 0     5  2 1 2 2 1 1 1 2
2012 04 12    11  1 4 2 2 2 2 3 3    16  1 3 3 4 2 3 4 3    13  1 3 2 2 2 3 4 4
2012 04 13    13  3 4 3 3 2 2 2 2    26  3 4 5 6 3 3 2 1    19  5 5 4 4 2 2 2 2
2012 04 14     7  3 3 0 2 2 1 2 1     8  3 2 0 3 2 2 2 1     9  4 3 1 1 2 2 2 1
2012 04 15     5  1 2 1 1 2 1 2 1     6  1 1 3 3 2 1 1 0     5  1 2 2 2 1 1 2 1
2012 04 16     5  2 2 0 0 2 1 2 2     3  2 1 0 1 2 1 1 0     5  2 2 0 1 2 1 1 2
2012 04 17     8  2 0 3 2 2 2 3 2    12  0 0 3 4 3 2 4 2     8  1 0 2 2 2 2 3 2
2012 04 18     7  3 2 2 2 2 1 1 1    10  3 3 3 2 3 2 1 1     8  3 3 2 1 2 1 1 2
2012 04 19     5  1 1 1 1 2 1 2 2     3  1 1 2 1 0 0 1 2     5  1 1 1 1 1 1 2 2
2012 04 20     7  1 3 2 2 2 2 2 0    10  1 4 3 4 2 1 0 0     7  1 3 3 2 2 2 1 1
2012 04 21     6  2 0 0 2 2 1 3 2     3  1 0 0 0 0 1 2 2     6  2 1 1 1 1 1 3 3
2012 04 22     7  3 2 2 2 2 1 1 1    14  3 3 3 4 3 3 2 1     7  3 2 2 2 2 1 1 1
2012 04 23    21  1 3 3 2 3 3 3 6    37  2 5 5 1 3 5 6 5    23  1 4 4 2 2 4 5 5
2012 04 24    30  6 4 5 2 2 2 3 5    28  4 4 6 2 4 3 3 4    35  6 5 5 2 2 2 4 5
2012 04 25    18  3 3 4 3 3 3 4 3    49  4 4 7 5 4 4 6 3    21  4 3 4 3 2 4 4 4
2012 04 26    17  5 5 2 2 2 2 2 2    19  5 5 3 3 2 2 2 1    17  5 5 2 1 2 1 2 2
2012 04 27     7  3 2 2 1 2 1 2 2     8  2 2 2 3 2 1 2 2     8  3 2 2 1 1 1 2 3
2012 04 28     5  1 0 1 2 2 1 2 2    10  1 1 1 4 3 3 2 1     5  1 1 1 2 1 2 1 2
2012 04 29     5  2 3 1 1 1 1 2 0     4  2 2 1 2 2 0 0 0     5  2 2 1 1 1 1 1 0
2012 04 30     2  0 1 1 1 1 1 1 0     1  0 0 1 2 0 0 0 0     3  1 1 1 1 0 1 0 0
2012 05 01     3  0 0 1 1 2 2 1 1     0  0 1 0 0 0 0 0 0     4  0 1 1 1 1 1 1 1
2012 05 02     4  1 1 0 1 2 1 1 2     4  2 1 0 3 2 0 0 1     5  2 1 0 1 1 1 1 3
2012 05 03     9  3 2 2 2 2 2 1 3    10  2 2 3 4 2 2 1 2     8  3 2 2 2 1 1 1 3
2012 05 04     4  2 2 0 1 1 1 1 1     2  1 2 0 0 0 1 0 0     4  2 2 0 0 1 1 1 1
2012 05 05     4  0 0 0 2 3 1 1 1     1  0 0 0 1 1 0 0 1     4  0 1 1 1 2 1 1 1
2012 05 06     5  1 1 2 1 3 1 1 0     3  0 0 1 3 1 0 1 0     5  1 1 2 2 2 1 1 0
2012 05 07     4  0 1 0 2 2 2 2 0     1  0 1 0 1 0 1 0 0     4  0 1 1 2 1 1 1 1
2012 05 08     8  1 2 1 2 3 2 2 3     4  1 2 0 2 1 1 1 2     9  1 2 1 2 2 2 2 4
2012 05 09    19  3 3 4 3 3 2 4 4    36  3 4 5 6 5 4 3 4    24  4 4 3 3 4 3 4 4
2012 05 10    11  3 3 2 2 2 2 3 3    19  4 3 3 5 3 2 2 3    12  3 3 2 2 2 2 3 4
2012 05 11    10  4 3 2 2 2 2 2 1    16  4 4 4 3 2 2 2 2    12  4 3 2 2 2 2 2 2
2012 05 12     8  3 2 2 2 2 2 2 2    13  2 2 2 4 4 3 2 2    10  3 2 2 2 3 2 2 3
2012 05 13    10  2 3 3 2 2 1 3 2    24  3 3 5 5 4 4 2 2    12  3 3 3 2 2 2 3 3
2012 05 14     7  3 2 1 1 2 2 2 1     3  2 2 1 0 0 0 0 2     6  3 2 1 1 1 1 1 2
2012 05 15     5  2 2 2 1 2 0 1 2     5  2 3 2 0 0 0 0 2     5  2 2 2 1 1 1 0 2
2012 05 16     8  2 1 1 1 3 1 3 3    10  2 1 1 1 4 3 2 3     9  2 2 1 1 2 2 3 4
2012 05 17     5  2 1 1 2 2 1 1 2     3  2 2 1 1 1 0 0 1     6  2 2 2 1 1 1 1 1
2012 05 18     8  3 2 1 2 2 2 2 2     8  2 2 1 3 3 2 1 2     8  3 2 2 2 2 2 2 2
2012 05 19     5  2 2 1 1 2 1 1 1     5  2 2 1 2 2 1 1 1     5  2 2 1 1 1 1 1 1
2012 05 20    12  3 4 3 2 3 2 1 1    13  2 4 3 3 4 2 1 1    13  3 4 3 2 3 2 2 2
2012 05 21     7  0 1 0 2 2 2 4 2     2  1 1 0 0 0 0 2 1     7  1 1 1 1 1 1 4 2
2012 05 22    15  2 4 2 2 4 3 3 3    25  2 4 4 4 5 5 2 2    16  2 4 2 2 3 3 4 3
2012 05 23    13  3 4 3 3 2 2 2 2    25  4 4 5 5 4 2 2 2    18  4 5 4 3 2 2 2 2
2012 05 24    11  2 2 3 1 3 2 3 3    11  2 2 4 3 3 2 1 1     8  2 3 2 2 2 2 2 2
2012 05 25     8  2 1 1 3 3 2 2 1    13  2 2 2 5 3 3 1 1     6  2 2 1 2 2 2 1 1
2012 05 26     5  2 1 1 1 3 1 1 0     4  2 2 1 3 0 0 0 0     4  2 1 1 1 1 1 1 0
2012 05 27     3  1 1 0 1 2 2 1 0     2  1 2 1 0 0 0 0 0     4  1 2 1 1 1 1 1 0
2012 05 28     3  0 0 0 1 2 2 2 1     3  0 0 0 2 1 2 1 1     6  0 1 1 1 2 3 3 1
2012 05 29     5  1 1 0 1 2 2 2 2     4  1 2 0 0 1 1 2 2     6  1 2 1 1 2 2 2 2
2012 05 30     5  2 1 1 1 2 2 2 1    14  3 2 2 5 3 2 2 1     6  2 2 1 2 2 2 2 1
2012 05 31     7  2 1 2 2 2 2 3 1     9  3 1 2 4 1 2 2 0    10  3 2 2 2 2 3 3 1
2012 06 01     6  1 2 0 2 2 2 2 2     4  1 2 1 1 1 1 1 1     6  1 2 1 2 2 2 2 2
2012 06 02     8  1 1 1 2 3 2 2 3     4  1 1 1 1 1 1 1 2     9  1 1 1 1 2 3 2 4
2012 06 03    16  2 3 3 3 4 4 3 1    33  2 2 3 3 6 6 5 3    19  3 2 2 2 4 5 4 1
2012 06 04    14  2 3 2 3 4 3 3 2    28  2 3 4 6 5 3 3 3    16  2 3 3 4 4 3 3 3
2012 06 05    15  2 4 3 2 3 3 3 3    33  3 4 5 5 6 3 3 3    17  3 4 3 2 4 3 3 3
2012 06 06    17  4 4 2 3 3 3 3 3    29  4 4 2 5 5 5 3 3    17  3 4 2 3 3 3 4 3
2012 06 07     8  2 2 1 2 2 2 3 2    10  3 3 1 4 1 1 2 1     8  2 2 2 2 2 2 3 2
2012 06 08     9  1 2 3 3 2 1 3 2    11  2 3 4 4 2 0 1 0     8  2 2 3 3 1 1 2 1
2012 06 09     9  2 2 1 2 2 2 3 3     7  2 3 1 3 1 0 2 1     8  2 2 1 1 2 1 3 2
2012 06 10     6  0 0 1 2 3 2 2 2     2  0 1 0 0 1 1 0 1     6  1 1 1 1 2 2 2 2
2012 06 11    11  2 2 2 2 2 2 3 4    22  2 2 5 4 4 4 3 3    14  2 2 3 2 2 3 3 5
2012 06 12    10  4 4 1 1 2 1 1 1     8  4 3 2 0 2 1 2 0    13  5 4 1 1 1 1 1 1
2012 06 13     7  2 2 2 1 3 1 2 1     3  1 2 1 1 0 1 1 1     6  2 2 2 2 1 1 2 1
2012 06 14     4  0 1 1 2 2 2 2 0     3  1 2 1 2 1 0 1 0     4  1 1 1 1 1 1 1 0
2012 06 15     4  0 0 0 2 2 2 2 1     1  0 0 0 0 0 1 0 1     4  0 0 0 1 1 1 1 1
2012 06 16    19  0 1 1 2 3 3 4 6    12  0 1 0 3 4 3 2 4    19  1 1 1 2 3 3 4 6
2012 06 17    36  4 4 5 6 5 3 4 3    55  2 5 6 6 6 6 5 3    39  4 4 5 6 5 4 4 4
2012 06 18    13  3 5 2 2 2 2 1 2    28  3 5 5 5 4 4 2 1    15  4 5 3 2 2 2 1 1
2012 06 19     5  1 1 1 1 2 2 2 1     2  0 1 2 1 0 0 0 0     3  0 1 1 1 1 1 1 1
2012 06 20     4  1 2 1 1 2 1 2 0     2  1 2 0 0 0 1 0 0     4  2 2 1 1 1 1 1 1
2012 06 21     3  1 0 0 1 2 1 2 1     2  1 1 0 0 0 0 1 1     3  1 1 0 0 1 1 1 1
2012 06 22     5  1 1 1 2 2 2 1 1     8  1 1 2 3 4 2 1 0     5  1 1 1 2 2 2 1 1
2012 06 23     4  1 0 2 1 1 1 1 2     4  1 0 2 3 1 1 1 0     4  1 1 1 1 1 2 1 1
2012 06 24     5  1 1 1 1 2 2 2 1     2  1 1 0 0 0 1 1 1     5  2 1 1 1 1 2 1 1
2012 06 25     5  1 1 2 2-1-1 2 1    13  2 3 3 3 4 3 2 1     9  1 2 2 2 3 3 2 2
2012 06 26     7  2 3 2 2 2 1 1 2    14  3 4 2 5 2 1 1 1     8  2 3 2 2 2 1 1 2
2012 06 27     8  1 1 1 2 3 3 2 2    11  1 1 1 3 3 4 2 3     6  1 1 1 1 2 2 2 2
2012 06 28     7  2 2 3 2 2 2 1 1    11  2 2 3 3 3 2 3 1     6  2 2 3 2 1 1 1 1
2012 06 29     6  1 1 1 1 2 1 2 3     2  1 1 0 0 1 0 1 2     5  1 1 1 1 2 1 1 3
2012 06 30    21  2 3 4 3 5 3 3 4    41  3 4 5 6 6 5 3 3    22  3 3 4 4 4 4 3 4
2012 07 01    20  4 5 3 3 3 2 3 3    31  4 4 5 6 4 4 2 2    19  4 4 3 3 3 3 3 3
2012 07 02    18  3 4 4 3 3 3 3 3    43  3 5 5 5 6 6 3 2    19  4 4 4 3 3 3 3 2
2012 07 03    11  3 2 2 3 3 3 2 2    17  3 3 1 5 3 4 2 1    10  3 3 2 2 2 3 2 2
2012 07 04    11  3 3 2 3 3 2 2 2    13  3 4 2 4 3 1 1 1     9  3 3 2 3 2 2 1 2
2012 07 05    13  2 2 1 3 4 3 3 3     6  2 2 2 2 2 2 1 1    14  2 2 2 3 4 3 3 3
2012 07 06    14  2 3 2 2 2 3 2 5    11  2 3 2 2 3 2 3 3    16  2 3 2 2 2 3 3 5
2012 07 07     8  2 2 2 2 2 2 3 2    12  2 2 2 5 2 1 2 2     8  3 2 2 2 1 2 3 2
2012 07 08    15  2 3 2 3 3 3 3 4     9  2 2 2 4 1 1 1 3    13  2 3 2 3 2 3 3 4
2012 07 09    29  4 4 4 3 5 4 3 5    60  5 5 6 5 6 6 6 3    30  5 4 3 3 5 4 3 5
2012 07 10    15  4 3 3 4 3 2 2 2    19  4 3 4 4 4 3 2 2    13  4 2 3 3 2 2 2 2
2012 07 11    10  2 2 3 3 2 1 2 3    23  3 3 6 5 2 2 2 2    10  2 3 3 3 1 1 2 3
2012 07 12    11  2 3 3 4 2 2 1 2    27  3 4 6 6 2 2 1 0    11  3 3 4 3 2 2 1 1
2012 07 13     4  1 1 1 2 2 1 2 0     2  1 1 1 2 1 0 0 0     3  1 1 1 1 1 1 1 1
2012 07 14    11  0 1 1 2 3 2 4 4    12  1 1 0 1 2 2 5 4    17  1 1 1 1 2 2 5 5
2012 07 15    39  4 5 6 5 4 4 4 4    88  4 5 7 7 5 7 6 6    60  4 5 6 6 5 5 6 5
2012 07 16    27  6 4 3 4 4 3 2 3    50  4 6 6 4 6 6 3 2    31  6 5 4 4 4 3 3 3
2012 07 17     9  2 3 3 2 2 2 2 2    25  3 5 6 3 3 3 2 2    14  3 4 4 2 2 3 2 2
2012 07 18     5  1 1 1 2 2 2 2 1     5  2 1 2 1 1 1 1 2     5  2 1 1 1 1 2 1 1
2012 07 19     6  1 2 2 1 2 1 2 2     6  1 2 1 3 1 2 1 1     6  1 2 2 1 1 1 2 1
2012 07 20    10  2 3 2 3 3 2 2 2    17  2 3 3 5 3 4 2 1    11  2 3 2 3 2 3 2 3
2012 07 21     8  2 2 2 2 2 2 3 2     7  3 2 2 1 1 2 2 1    11  3 2 2 2 1 3 3 2
2012 07 22     9  1 2 3 2 3 2 2 2    18  1 4 4 5 4 0 1 2     8  1 3 3 2 2 1 2 2
2012 07 23     8  2 2 1 1 2 3 2 3    15  2 2 1 3 4 5 2 2     9  2 2 1 2 2 3 2 3
2012 07 24    10  3 3 2 2 3 2 2 1    18  3 4 3 3 5 2 2 2    10  3 3 2 2 2 2 2 2
2012 07 25     6  3 1 2 1 2 2 1 0     6  2 1 1 4 2 0 0 1     6  3 1 2 2 2 1 1 1
2012 07 26     3  0 0 1 1 2 2 1 0     0  0 0 0 0 0 0 0 0     4  1 1 1 1 2 1 1 0
2012 07 27     5  0 2 1 2 2 2 1 2     2  0 2 1 0 0 1 0 1     5  0 2 1 1 1 2 1 2
2012 07 28    11  1 1 2 2 3 2 3 4    14  1 1 2 1 4 5 2 3    11  1 1 2 2 3 3 3 4
2012 07 29     6  2 2 2 2 2 2 1 0     9  3 2 3 4 2 0 1 0     6  3 2 2 2 1 1 1 1
2012 07 30    11  1 2 4 2 3 3 2 2    34  2 2 5 3 6 6 4 2    13  2 2 3 2 3 4 3 2
2012 07 31     5  1 2 1 2 2 1 1 2     5  2 2 1 0 3 1 1 1     6  2 2 1 1 2 2 1 2
2012 08 01     7  2 2 1 2 2 2 2 2     5  2 2 1 2 2 1 1 1     6  2 2 1 1 1 2 1 2
2012 08 02    16  1 0 1 2 5 4 4 3    21  1 0 0 1 6 5 3 3    16  1 1 1 2 4 5 4 3
2012 08 03     8  2 3 1 2 3 2 1 1     8  3 3 3 3 1 1 0 0     7  3 3 2 1 2 2 1 1
2012 08 04     6  1 1 1 2 2 2 2 2     4  1 1 2 1 1 2 1 1     7  1 1 2 1 2 2 2 3
2012 08 05     6  1 0 2 2 2 2 2 2     3  2 0 1 2 0 0 0 1     6  1 1 1 2 2 2 2 2
2012 08 06    10  2 3 2 3 3 2 1 2    16  2 3 2 4 4 4 2 2    11  2 3 2 3 2 3 2 3
2012 08 07     8  2 0 1 3 2 2 2 3     7  1 1 2 4 2 1 0 2     7  2 1 1 2 2 2 2 3
2012 08 08    12  5 1 2 2 3 2 2 1    12  4 2 2 4 3 2 1 1    10  4 2 2 1 2 3 1 1
2012 08 09     7  3 2 1 3 2 1 1 1     8  2 2 3 4 1 1 0 0     6  3 2 1 2 1 1 1 1
