:Product: Daily Geomagnetic Data     2000_DGD.txt
:Issued: 1800 UT 07 Jan 2001
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
#  Please send comment and suggestions to sec@sec.noaa.gov
#
#                         2000 Daily Geomagnetic Data
#
#                 Middle Latitude        High Latitude            Estimated
#               - Fredericksburg -     ---- College ----      --- Planetary ---
#   Date        A     K-indices        A     K-indices        A     K-indices
#------------------------------------------------------------------------------
2000 02 19     3  0 0 1 2 1 1 1 1     6  0 0 1 5 0 0 0 0     4  0 0 2 3 0 1 1 1
2000 02 20     5  0 0 2 0 0 0 1 4     4  0 0 1 3 0 0 0 3     5  1 0 3 1 0 0 2 3
2000 02 21    15  3 4 2 2 3 4 3 2    25  2 3 3 4 5 6 1 1    15  3 4 3 2 3 4 3 2
2000 02 22     5  2 3 0 0 2 1 1 1     5  4 1 0 1 1 1 0 0     5  1 2 0 1 2 2 2 1
2000 02 23     8  2 0 1 2 4 3 1 1    20  1 0 1 4 6 5 1 1     9  3 0 1 2 4 4 2 2
2000 02 24    20  2 4 3 3 4 3 4 4    31  2 3 4 5 5 4 5 4    26  2 4 4 5 4 4 4 4
2000 02 25    14  3 4 4 2 3 2 2 2    27  2 3 5 4 6 3 3 2    18  3 4 4 3 4 3 2 3
2000 02 26    10  2 2 3 2 2 2 3 3    19  2 1 4 5 4 2 3 3    12  3 2 4 3 2 3 3 3
2000 02 27     6  2 1 2 2 2 1 2 2    19  3 2 2 5 5 3 2 2    10  3 1 2 3 2 3 3 2
2000 02 28    12  2 3 2 2 4 3 2 2    26  2 4 3 5 6 3 2 2    12  3 3 3 2 4 3 2 2
2000 02 29     5  0 1 2 3 2 1 1 1    12  1 1 5 4 3 1 0 0     6  0 1 3 3 2 2 2 1
2000 03 01    16  2 3 3 4 3 3 2 4    38  1 3 5 6 6 5 3 3    19  2 3 4 4 4 4 3 3
2000 03 02     7  3 3 1 1 2 0 1 2     8  3 3 1 2 3 1 1 1     8  4 3 2 1 2 2 2 2
2000 03 03     5  1 0 0 0 4 0 2 1     4  0 0 0 1 3 2 1 1     5  1 0 0 1 2 3 2 2
2000 03 04     5  1 0 0 0 4 2 1 1     3  0 0 0 0 2 3 1 0     5  1 0 0 0 2 3 2 2
2000 03 05     4  1 2 1 1 1 1 2 1     3  0 0 0 2 1 1 2 2     7  2 2 1 2 2 2 2 3
2000 03 06     8  1 2 2 2 3 2 2 2    13  0 1 4 3 4 2 2 3    11  2 2 3 3 3 3 3 3
2000 03 07    10  3 2 3 2 2 2 2 3    28  3 3 5 6 4 4 2 2    16  3 3 4 4 3 3 3 3
2000 03 08     9  2 3 2 2 3 2 2 2    17  2 2 2 4 4 4 4 2    13  3 3 2 3 3 3 3 3
2000 03 09     3  2 0 0 0 2 2 0 1     5  1 0 0 2 3 0 1 3     5  2 0 0 2 3 2 2 2
2000 03 10     8  1 1 1 1 3 2 3 3    15  1 1 1 4 5 4 2 2    10  1 0 1 3 3 3 2 4
2000 03 11     7  3 1 2 2 2 1 1 2    14  2 2 3 3 5 3 1 1    12  3 3 4 2 4 2 2 2
2000 03 12    15  2 1 4 4 4 3 1 2    27  3 2 5 5 6 3 1 1    19  3 3 5 4 4 3 3 3
2000 03 13     2  2 1 0 0 0 1 1 1     2  2 1 0 1 0 0 1 1     4  2 1 1 0 1 2 2 2
2000 03 14     5  2 2 1 2 1 1 1 1    10  1 1 2 5 3 2 0 0     6  2 2 1 3 1 2 2 2
2000 03 15     0  0 0 1 0 0 0 0 0     5  4 2 1 1 0 0 0 0     3  1 0 0 0 1 2 1 2
2000 03 16     2  0 0 0 0 0 1 1 2     0  0 0 0 0 0 0 0 0     4  0 0 0 0 1 1 2 1
2000 03 17     3  2 0 2 2 1 0 0 0     4  1 0 0 4 0 0 0 0     6  2 1 2 2 2 2 2 2
2000 03 18     6  1 0 1 1 2 2 3 2     4  0 0 0 3 2 1 2 1     7  1 0 1 2 2 3 3 2
2000 03 19     6  2 2 2 2 2 1 2 1     8  1 2 3 3 2 2 1 0     8  2 2 2 2 2 3 3 2
2000 03 20     5  1 1 1 2 3 1 1 1     7  0 0 0 4 3 0 3 0     8  1 0 1 3 3 2 2 2
2000 03 21     2  0 0 1 0 1 1 1 1     7  0 0 0 0 5 1 2 0     6  1 0 1 1 3 2 2 2
2000 03 22     8  1 1 1 2 2 2 2 4    15  1 3 2 2 5 3 3 2    11  2 2 2 3 3 3 3 3
2000 03 23     8  2 2 2 2 3 2 2 2    13  2 2 2 3 4 4 2 1    11  2 2 2 3 3 3 3 2
2000 03 24     9  2 2 1 2 4 3 1 2    -1  1 1 0 4 6 3-1 2    10  2 2 1 2 4 3 2 2
2000 03 25     5  2 2 1 1 2 2 2 0     9  2 1 4 2 0 3 3 0     8  2 2 2 2 1 3 3 1
2000 03 26     3  1 0 1 1 1 2 1 1     3  1 0 0 0 0 3 1 1     5  1 0 2 2 2 3 2 1
2000 03 27     3  1 2 0 1 1 1 0 1    -1 -1 1 0 0 0 0-1 0     5  2 1 0 1 2 2 2 1
2000 03 28     3  2 1 1 1 1 1 1 0     1  1 1 0 1 0 0 0 0     5  2 1 2 2 1 2 2 1
2000 03 29     9  0 0 1 1 2 1 4 4    -1  0 0 3 5 0 0 3-1     9  1 0 1 2 2 2 4 4
2000 03 30     8  2 1 1 0 3 2 3 3    16  5 1 3 4 2 1 3 2    10  2 2 2 2 3 3 3 3
2000 03 31    18  3 4 4 3 3 3 3 3    -1 -1-1-1-1-1-1-1-1    19  3 4 4 4 4 3 3 3
2000 04 01    12  2 3 2 2 3 2 4 3    -1 -1-1-1-1-1-1-1-1    14  3 3 1 2 3 4 4 3
2000 04 02    14  4 3 3 3 3 3 2 2    -1 -1-1-1-1-1-1-1-1    16  4 3 4 3 3 3 3 3
2000 04 03    12  3 3 2 3 3 3 2 2    -1 -1-1-1-1-1-1-1-1    12  3 3 3 3 3 3 2 2
2000 04 04    23  6 4 2 0 3 4 3 3    -1 -1-1-1-1-1-1 5 5    21  5 4 2 1 4 3 4 4
2000 04 05    14  5 5 1 1 0 1 1 2    -1 -1-1 0 0 0 2 1 1    12  3 4 2 2 3 3 3 3
2000 04 06    34  3 3 3 3 2 6 5 6    -1  2 3-1-1-1 4 6 7    56  3 3 3 3 3 6 7 8
2000 04 07    34  7 4 4 3 3 3 3 3    29  6 4 5 3 2 4 3 3    50  8 5 5 4 3 4 4 3
2000 04 08     8  2 1 3 2 1 1 2 3    21  2 1 6 5 3 2 2 2    14  2 2 4 4 3 3 3 3
2000 04 09    12  3 3 2 2 2 2 3 4    -1  3 2 2 3 5 4 4-1    13  3 3 2 2 3 3 3 4
2000 04 10    14  3 4 3 3 3 2 2 2    27  4 4 5 5 3 4 3 2    20  4 4 4 4 3 2 3 4
2000 04 11     8  1 3 3 1 3 1 2 0    -1  2 3 6 3 4-1 1 1    10  2 3 4 3 3 1 2 2
2000 04 12     7  3 3 2 1 0 2 1 2    -1  2-1-1-1-1-1-1-1     5  3 2 2 2 2 1 2 2
2000 04 13     3  1 3 2 1 0 1 0 0    -1 -1-1-1-1-1-1-1-1     8  3 3 3 1 1 2 2 1
2000 04 14     2  0 0 1 2 1 1 1 0    -1 -1-1-1-1-1 0 2 0     5  1 1 1 2 1 2 2 2
2000 04 15     7  0 1 1 1 3 2 2 3     7  4 0 0 1 3 0 2 2     7  1 1 2 2 2 2 3 3
2000 04 16    16  2 3 4 4 4 2 2 2    29  2 4 3 5 6 4 3 3    23  4 4 4 5 5 3 3 2
2000 04 17    11  3 3 4 2 1 1 2 2    28  3 3 7 4 2 2 2 2    14  3 3 5 3 1 2 2 2
2000 04 18     5  1 3 1 1 1 1 2 2    -1  1 2 1-1-1 1 2 2     7  2 3 1 1 2 3 3 1
2000 04 19     9  2 3 2 1 3 3 1 2    16  3 3 3 3 4 4 2 2    12  3 4 2 2 4 3 2 2
2000 04 20    18  3 4 4 2 4 3 3 2    21  3 3 4 5 5 2 2 1    14  3 3 4 2 3 3 3 2
2000 04 21     7  2 1 1 3 3 2 1 2    10  1 1 1 5 2 2 1 1    10  2 2 1 4 3 2 2 2
2000 04 22     4  1 1 2 1 2 1 1 1     8  0 1 3 4 3 0 1 0     7  2 2 3 2 2 2 2 2
2000 04 23     4  0 1 2 1 1 2 1 2     8  0 1 4 3 2 1 1 2     8  1 1 3 3 2 3 2 2
2000 04 24    14  2 3 3 2 5 2 2 2    18  2 3 4 4 5 2 2 2    21  2 3 4 4 5 3 3 3
2000 04 25     7  2 0 1 2 2 2 3 2    12  1 1 1 4 5 1 2 1     6  3 0 1 2 2 2 3 2
2000 04 26     3  0 0 1 1 2 0 1 2     6  0 0 4 3 1 0 0 1     4  1 0 1 2 1 2 2 2
2000 04 27    12  3 2 2 2 3 2 2 4    24  2 3 1 5 5 5 2 3    13  1 3 2 3 3 3 3 4
2000 04 28    11  4 3 3 2 2 2 2 1    19  3 2 5 4 3 2 4 2    17  4 3 4 3 3 3 3 3
2000 04 29    12  3 3 1 2 2 2 3 4    14  2 3 1 4 4 1 1 4    12  3 3 2 2 3 3 3 3
2000 04 30    10  3 3 2 1 2 2 3 2    22  5 5 1 0 3 4 2 4    11  3 4 2 1 3 3 3 2
2000 05 01    12  1 4 2 3 3 2 3 2    -1  5 6 5 3-1 4 2 2    14  2 4 4 2 3 3 3 3
2000 05 02    13  3 2 1 3 4 3 3 2    24  3 2 3 5 5 4 3 3    18  3 2 3 4 4 3 3 4
2000 05 03    13  2 3 4 1 2 3 3 3    18  5 3 3 3 1 3 3 3    15  3 3 4 2 2 4 4 3
2000 05 04     5  1 1 1 2 2 1 2 2    12  3 2 1 4 4 2 1 1     8  2 1 2 3 3 3 2 2
2000 05 05    12  2 2 3 2 2 4 3 2    17  1 3 4 4 5 2 2 1    14  3 2 4 3 3 3 3 3
2000 05 06     8  3 2 1 1 2 1 2 3    19  2 3 3 5 5 3 1 1    12  3 3 3 2 3 2 2 2
2000 05 07     6  2 3 2 1 1 0 2 2     3  2 2 2 0 0 0 1 0     7  2 3 1 1 2 2 2 1
2000 05 08     6  2 0 2 1 1 3 1 3    10  2 2 3 3 3 3 2 1     6  2 0 1 2 2 2 1 3
2000 05 09     7  2 3 1 2 2 1 2 2    10  2 2 3 3 3 3 2 1    11  2 3 2 3 3 3 3 3
2000 05 10     5  3 2 0 0 1 1 2 1    14  1 2 1 2 5 3 1 4     7  3 2 1 2 2 2 2 2
2000 05 11     4  1 1 2 0 2 0 2 2    -1  2 2 2 1 3 3 1-1     6  2 2 3 1 2 2 2 2
2000 05 12    19  2 3 4 4 3 3 3 4    -1 -1-1-1-1-1-1-1 3    22  3 4 5 4 3 2 4 4
2000 05 13    15  4 3 2 3 3 3 3 2    12  4 2 2 2 2 3 3 2    15  4 3 2 3 3 3 3 2
2000 05 14    11  4 4 1 1 2 1 2 2    12  3 2 1 2 5 1 2 2    12  4 4 2 2 3 2 3 3
2000 05 15    10  4 2 2 2 1 2 2 3    -1  4 3 2 6 3-1-1-1    16  4 3 3 4 3 2 2 3
2000 05 16    14  3 4 2 3 3 2 3 2    -1 -1-1-1-1-1 2 3 2    18  3 4 3 4 3 3 3 3
2000 05 17    20  5 5 4 2 1 1 2 3    20  5 5 3 3 3 1 2 2    22  5 5 5 2 2 2 3 3
2000 05 18     8  3 2 2 2 1 2 2 2    -1  4 2 3 4 1 1-1 2    10  3 3 3 2 2 2 3 2
2000 05 19     7  2 2 2 2 2 2 2 1    -1  2 2-1 4 2 1 1 1     9  2 3 2 3 3 3 3 2
2000 05 20     4  1 1 1 1 1 1 2 1     3  2 1 1 0 1 1 1 1     6  2 2 1 2 2 2 2 2
2000 05 21     5  1 2 2 1 1 2 1 1     5  2 2 2 2 0 1 1 2     7  2 3 2 2 2 2 2 2
2000 05 22     8  2 2 1 3 2 2 2 2    12  1 2 2 5 3 1 1 2     9  2 3 2 3 3 2 3 2
2000 05 23    19  2 3 2 2 2 3 5 5    16  2 3 2 2 2 2 5 4    22  2 3 3 3 2 3 5 6
2000 05 24    46  7 6 5 4 3 3 3 4    64  6 6 6 6 3 6 6 3    73  7 7 6 6 4 4 5 4
2000 05 25    23  5 5 4 3 3 2 3 2    38  4 5 6 5 4 5 3 2    31  5 5 5 5 3 4 3 3
2000 05 26    19  3 4 3 4 4 4 2 2    -1  3 5-1-1-1-1-1 0    23  3 4 5 5 3 3 3 2
2000 05 27     8  2 2 1 2 2 2 2 3    16  2 2 3 5 2 4 2 2    12  3 3 2 2 3 3 3 3
2000 05 28    10  1 3 2 2 2 2 4 2    28  3 3 4 5 6 3 3 2    12  2 3 3 2 3 3 3 3
2000 05 29    19  2 4 3 2 2 3 4 5    21  3 3 3 3 3 5 4 3    24  4 4 3 3 3 4 5 5
2000 05 30    12  3 2 2 2 3 3 3 3    40  5 3 6 5 6 3 3 3    21  4 2 4 4 4 3 3 3
2000 05 31     9  2 4 2 1 1 0 2 3    14  3 5 2 1 1 0 2 4    12  3 4 2 2 2 3 2 3
2000 06 01     9  2 3 3 1 1 1 2 3    24  2 4 7 0 2 1 1 1    12  3 3 3 2 2 3 2 3
2000 06 02    12  2 2 2 2 2 3 4 3    11  2 3 3 3 4 1 1 2    10  2 3 3 2 2 2 3 3
2000 06 03     9  2 2 2 3 2 2 3 2    19  2 3 2 5 5 2 3 1    12  3 2 2 3 3 3 3 3
2000 06 04    11  1 2 3 0 1 2 4 4    15  1 2 4 5 0 2 3 3    12  2 2 3 1 2 3 4 4
2000 06 05    22  4 3 4 3 4 2 4 4    24  3 4 3 5 5 3 3 3    26  4 3 4 4 5 3 4 4
2000 06 06    13  3 3 3 3 3 3 2 1    14  3 3 2 4 4 3 1 1    16  4 3 3 4 3 4 3 2
2000 06 07    13  2 1 3 2 3 3 3 4    11  2 2 3 3 3 2 2 3    14  2 2 4 3 3 3 3 4
2000 06 08    34  2 4 4 5 6 4 4 4    79  2 3 6 7 7 7 6 4    53  3 4 4 7 7 6 5 4
2000 06 09     4  1 1 1 1 1 1 0 2     8  1 2 3 2 3 2 0 2     8  2 2 2 2 3 3 2 3
2000 06 10    16  3 3 4 3 4 2 3 2    38  4 4 5 6 5 5 3 3    25  4 3 5 5 4 3 3 3
2000 06 11    22  2 3 2 4 3 5 5 2    40  3 3 5 6 6 5 4 2    32  3 3 3 6 5 5 5 3
2000 06 12    12  3 2 3 1 2 3 2 4    21  3 3 3 2 5 5 3 2    15  3 3 3 2 3 4 3 3
2000 06 13    10  2 2 3 2 3 2 2 3    26  1 2 5 6 5 3 1 2    16  3 3 4 4 4 3 3 3
2000 06 14    27  3 2 4 2 3 3 5 6    17  3 2 4 3 3 3 4 3    23  4 2 4 3 4 4 5 5
2000 06 15    21  6 2 2 2 3 3 4 2    21  4 4 3 3 5 3 2 3    20  5 2 3 3 3 4 3 3
2000 06 16     5  1 0 1 1 1 2 3 2    -1  2 2-1-1-1-1-1-1     9  3 1 1 2 2 3 3 3
2000 06 17     6  2 0 2 2 1 2 2 3    -1 -1-1-1-1-1-1-1-1    10  3 1 2 2 3 3 3 3
2000 06 18    10  2 1 1 3 2 3 4 2    -1 -1-1-1-1-1-1-1-1    11  2 1 2 2 3 3 4 3
2000 06 19     8  3 3 1 1 1 3 1 2    -1 -1-1-1-1-1-1-1-1     9  3 3 1 2 2 3 3 2
2000 06 20     9  2 2 2 2 3 3 2 2    -1 -1-1-1-1 3 2 0 1     9  2 2 2 3 3 3 3 2
2000 06 21     6  1 1 0 0 1 1 2 4     5  1 1 1 2 1 1 1 3     8  2 1 1 2 2 3 3 3
2000 06 22    11  4 2 2 3 2 1 3 2     8  3 2 2 2 3 1 2 1     8  3 2 2 3 3 2 3 3
2000 06 23    20  2 3 2 1 5 4 4 4    35  3 4 2 0 7 4 5 3    23  3 4 2 2 4 5 5 4
2000 06 24    10  4 3 3 2 1 1 1 2    25  5 5 4 3 1 1 5 2    17  5 4 5 3 1 2 2 2
2000 06 25    11  2 1 0 1 1 4 3 4    14  2 1 1 4 5 1 2 3     8  3 1 1 1 2 2 3 4
2000 06 26    22  3 2 3 4 4 4 4 4    -1  3 4 4 5 6-1 7 3    33  4 4 4 6 5 3 5 4
2000 06 27    14  3 3 3 2 3 2 2 4    27  4 3 5 4 5 3 2 4    18  4 3 3 3 3 3 4 4
2000 06 28    11  3 3 1 2 2 2 3 3    18  4 5 2 4 2 3 2 2    14  4 4 2 3 2 3 2 4
2000 06 29     7  3 2 3 1 2 1 1 1    12  4 3 4 1 3 1 1 1    12  4 2 4 2 2 2 3 3
2000 06 30     3  0 0 0 2 1 1 2 2     5  1 0 0 4 1 1 1 1     7  2 1 0 3 2 2 2 2
2000 07 01     7  2 1 2 1 1 1 3 3    -1  3 1 2 4-1 0 2 2     9  3 2 3 2 2 2 3 2
2000 07 02     3  1 2 1 0 1 1 1 1     3  1 1 1 1 0 1 2 1     6  2 1 1 2 2 2 2 2
2000 07 03     8  2 2 1 3 3 1 2 2     8  2 2 2 3 3 1 2 1    10  2 2 2 3 3 3 3 3
2000 07 04    10  3 2 1 2 4 2 2 2     6  2 2 0 3 2 1 1 2     9  3 2 1 2 3 3 3 2
2000 07 05     6  1 1 2 2 3 2 1 1    21  2 1 4 6 4 3 1 1    13  2 1 3 4 3 4 2 1
2000 07 06     6  1 2 2 1 2 2 2 2    13  4 2 1 1 4 2 4 1     7  2 2 2 2 2 2 3 2
2000 07 07     6  2 1 1 1 2 2 1 3     6  3 2 1 2 0 1 1 2     8  2 2 1 3 3 3 2 3
2000 07 08     6  2 2 1 1 3 2 2 0     8  2 2 0 1 3 4 1 0     7  2 2 1 2 2 3 2 1
2000 07 09     6  0 1 2 1 2 2 1 3     8  0 2 3 1 4 1 1 1     7  1 1 2 2 2 2 2 3
2000 07 10    18  1 3 4 3 4 4 3 3    20  2 3 4 4 3 4 4 3    19  2 3 4 3 4 4 4 3
2000 07 11    31  3 5 4 5 4 4 3 5    28  3 4 4 4 5 4 4 4    31  4 5 4 5 5 4 4 5
2000 07 12    12  4 3 1 3 1 2 3 2     5  3 2 1 2 0 1 1 1    12  4 3 2 3 2 3 2 3
2000 07 13    18  2 1 3 4 5 4 2 2    28  1 2 3 5 5 6 3 2    33  2 2 3 5 7 5 2 3
2000 07 14    33  3 3 3 3 3 6 6 4    49  4 4 3 5 4 7 6 4    35  4 3 4 4 4 6 5 4
2000 07 15   148  3 3 3 3 6 8 9 9    -1  3 4 5 6 7-1-1-1   152  4 4 5 5 6 9 9 9
2000 07 16    32  6 6 4 4 3 3 2 2    -1 -1-1-1-1-1-1-1-1    46  8 6 4 4 4 3 3 3
2000 07 17     8  2 3 2 3 2 1 2 2    -1 -1-1-1-1-1 1 1 2     9  3 3 2 3 2 2 2 2
2000 07 18     8  2 2 2 1 2 2 1 4    -1  2 3 2 2 2-1-1 2    13  3 2 2 2 3 3 4 4
2000 07 19    10  2 1 0 2 2 3 4 3    -1  2 0-1-1 1 4 3 4    15  3 1 1 2 3 4 4 5
2000 07 20    28  5 5 5 4 3 2 3 3    57  5 7 6 5 6 4 3 3    43  5 6 6 6 5 3 4 3
2000 07 21     6  2 2 1 2 2 1 2 2    11  2 3 1 3 3 2 2 3     9  3 2 1 2 3 3 2 3
2000 07 22    11  1 2 2 4 2 2 3 3    43  1 3 4 6 4 7 5 2    18  2 3 4 5 3 4 3 3
2000 07 23    20  2 2 1 1 3 3 6 4    26  5 3 1 1 4 5 5 3    20  3 3 2 2 3 4 5 4
2000 07 24     4  2 3 1 0 1 0 1 1     6  3 3 2 1 1 1 0 1     8  2 3 2 2 2 3 2 2
2000 07 25     4  1 1 1 1 1 1 2 2     6  2 2 1 1 1 2 2 2     7  2 2 1 2 2 3 2 3
2000 07 26    16  2 2 4 2 3 2 4 4    20  2 3 4 3 4 5 3 2    20  3 3 4 4 4 3 4 4
2000 07 27     6  3 1 0 0 1 2 2 3    -1  3 2 0 3-1-1-1 2     9  4 2 1 2 1 2 2 3
2000 07 28    16  2 3 4 3 4 3 3 2    43  2 3 6 4 6 6 5 2    30  3 3 5 5 5 5 4 3
2000 07 29    17  4 3 3 4 4 2 2 2    30  4 3 5 6 5 3 2 2    27  3 3 4 6 5 3 3 3
2000 07 30    10  3 4 2 2 2 2 1 2    -1  2 3-1-1-1-1-1-1    10  3 3 1 2 3 2 2 2
2000 07 31    17  3 3 3 4 2 3 3 4    -1 -1-1-1-1-1 3 4 3    19  3 3 4 4 2 3 4 5
2000 08 01    11  3 2 2 3 2 3 2 3    23  2 2 2 4 4 6 3 3    15  3 3 3 3 2 4 4 3
2000 08 02     9  3 3 1 2 2 2 2 2    19  4 4 3 5 2 2 3 2    14  4 3 3 3 2 3 3 3
2000 08 03     8  2 2 3 1 2 1 3 2    21  2 4 4 4 5 3 2 2    12  3 3 3 3 2 3 3 2
2000 08 04    13  3 2 3 2 3 3 3 3    24  3 3 5 3 5 4 3 2    18  3 3 4 3 3 4 3 3
2000 08 05    19  2 3 4 4 3 3 3 4    35  2 3 6 4 5 5 4 4    26  3 3 5 5 4 4 3 4
2000 08 06    15  4 4 1 2 3 2 3 3    19  4 4 3 3 4 4 2 2    18  4 4 3 3 3 3 3 3
2000 08 07     8  1 2 2 2 3 1 2 3    22  3 2 3 6 5 1 1 2     9  2 2 3 3 3 2 2 2
